,µÀ¾ßµÄId,µ±Ç°µãÊý,´òÕÛÇ°µÄµãÊý,"ÉÌÆ·µÄÌØÊâ±ê¼Ç(Èç""×îÐÂ"",""ÈÈÏú""µÈ)",ÉÌÆ·¶îÍâÃèÊö,ÊôÐÔId,ÉÌÆ·µÈ¼¶ÐÞÕý,°ó¶¨ÐÎÊ½,ÓÐÐ§Ê±¼ä,ÉùÍûÏÞÖÆµÄÊÆÁ¦,ÉùÍûµÈ¼¶ÏÞÖÆ,µÀ¾ßµÄÐû´«Í¼Æ¬(Ã»ÓÐ3DÄ£ÐÍÊ±ÏÔÊ¾),3DÄ£ÐÍµÄ±³¾°Í¼Æ¬,ÉãÏñ»úÓëÄ£ÐÍµÄ¾àÀë,ÉãÏñ»úÓëË®Æ½ÃæµÄ½Ç¶È(»¡¶È),Ä£ÐÍµÄÐý×ª½Ç¶È(»¡¶È),Ä£ÐÍµÄÆ«ÒÆÁ¿,"ÊÇ·ñ""²»Ô¤ÀÀÄ£ÐÍ»òÐû´«Í¼Æ¬"""
ID,ItemId,Point,DelPoint,Icon,Description,AttribID,OffsetLevel,BindingType,TimeLimit,CreditForce,NeedCreditLevel,Image,ModelBkImage,ViewDistance,ViewAngle,ModelRotate,ModelOffset,NoPreview
1,1250,1,,,"ÐÕi Phúc Bao",,,,,,,,shop_model_bk1,,,,,
2,1251,1,,,"Trß¶ng Hi®u B¯i Bao",,,,,,,,shop_model_bk1,,,,,
3,4126,1,,,"Thª Thân Thäo Nhân Cao C¤p (99)",,,,,,,,shop_model_bk1,,,,,
4,8084,1000,,,"Trung Thu Vui Vë",,,,,,,,shop_model_bk1,,,,,
5,3954,1,,,"Tri®u H°i Linh ThÕch (5)",,,,,,,,shop_model_bk1,,,,,
6,9092,1,,,"Sách Tång T¯c Ðµ Di Chuy¬n",,,,,,,,shop_model_bk1,,,,,
7,4168,1,,,"Ái Tâm Bµc Phát Thß",,,,,,,,shop_model_bk1,,,,,
8,8067,100,,,"50K Vàng",,,,,,,,shop_model_bk1,,,,,
9,8068,1000,,,"100K Vàng",,,,,,,,shop_model_bk1,,,,,
10,8069,5000,,,"150K Vàng",,,,,,,,shop_model_bk1,,,,,
11,4534,1,,,"D¸ch Dung Ðan",,,,,,,,shop_model_bk1,,,,,
12,5892,1,,,"Pháp Bäo T¦y Ði¬m Phù",,,,,,,,shop_model_bk1,,,,,
13,5636,1,,,"Cß¶ng Hi®u Mµc Công Phù",,,,,,,,shop_model_bk1,,,,,
14,3936,1,,,"Công ÐÑc Hoàn (Ti¬u)",,,,,,,,shop_model_bk1,,,,,
15,4479,1,,,"Công ÐÑc Hoàn (ÐÕi)",,,,,,,,shop_model_bk1,,,,,
16,5659,1,,,"Ð£c Hi®u Công ÐÑc Hoàn",,,,,,,,shop_model_bk1,,,,,
17,1050,1,,,"H°i Thành Phù",,,,,,,,shop_model_bk1,,,,,
18,1089,1,,,"Thành Ðô H°i Thành Phù",,,,,,,,shop_model_bk1,,,,,
19,8079,10000,,,"Túi Höa Phong Gi¾i Chï",,,,,,,,shop_model_bk1,,,,,
20,8080,10000,,,"Túi Höa Phong Gi¾i Chï",,,,,,,,shop_model_bk1,,,,,
21,383,1,,,"Hoàng Kim Bäo ThÕch",,,,,,,,shop_model_bk1,,,,,
22,4052,1,,,"Huyªt Kim Bäo ThÕch",,,,,,,,shop_model_bk1,,,,,
23,4053,1,,,"Thiên Lam Bäo ThÕch",,,,,,,,shop_model_bk1,,,,,
24,4054,1,,,"Phï Thúy Løc Bäo ThÕch",,,,,,,,shop_model_bk1,,,,,
25,4055,1,,,"BÕch Kim Bäo ThÕch",,,,,,,,shop_model_bk1,,,,,
26,401,1,,,"Ti¬u Hoành Bäo ThÕch",,,,,,,,shop_model_bk1,,,,,
27,402,1,,,"Trung Hoành Bäo ThÕch",,,,,,,,shop_model_bk1,,,,,
28,403,1,,,"ÐÕi Hoành Bäo ThÕch",,,,,,,,shop_model_bk1,,,,,
29,404,1,,,"Ti¬u Quang Bäo ThÕch",,,,,,,,shop_model_bk1,,,,,
30,405,1,,,"Trung Quang Bäo ThÕch",,,,,,,,shop_model_bk1,,,,,
31,406,1,,,"ÐÕi Quang Bäo ThÕch",,,,,,,,shop_model_bk1,,,,,
32,3851,1,,,"Thái Tinh",,,,,,,,shop_model_bk1,,,,,
33,4106,1,,,"Kim Toän",,,,,,,,shop_model_bk1,,,,,
34,4463,1,,,"Th¤t S¡c Thu¥n Bäo ThÕch",,,,,,,,shop_model_bk1,,,,,
35,5551,1,,,"Th¤t S¡c Thu¥n Bäo ThÕch (HQ)",,,,,,,,shop_model_bk1,,,,,
36,4791,1,,,"Tiên Gi¾i Gia Huyªt Dßþc Thüy (10)",,,,,,,,shop_model_bk1,,,,,
37,3506,1,,,"Th¤t S¡c Bäo ThÕch",,,,,,,,shop_model_bk1,,,,,
38,4169,1,,,"Th¤t S¡c Huyªt Kim Bäo ThÕch",,,,,,,,shop_model_bk1,,,,,
39,3942,1,,,"Thiên SÑ Bäo ThÕch",,,,,,,,shop_model_bk1,,,,,
40,3739,1,,,"Siêu Tân Trang Ma ThÕch (c¤p 1)",,,,,,,,shop_model_bk1,,,,,
41,3736,1,,,"Ð« Pháp Ma ThÕch",,,,,,,,shop_model_bk1,,,,,
42,3705,1,,,"Nång Lßþng Kªt Tinh",,,,,,,,shop_model_bk1,,,,,
43,4792,1,,,"Tiên Gi¾i Gia Pháp Dßþc Thüy (10)",,,,,,,,shop_model_bk1,,,,,
44,3952,1,,,"Trß¶ng Hi®u Nam Höa Ðan (50)",,,,,,,,shop_model_bk1,,,,,
45,3953,1,,,"Trß¶ng Hi®u Vô Cñc Ðan (50)",,,,,,,,shop_model_bk1,,,,,
46,3459,1,,,"Trß¶ng Hi®u Kim Cß½ng Ðan (50)",,,,,,,,shop_model_bk1,,,,,
47,3461,1,,,"Trß¶ng Hi®u Dßþc Sß Ðan (50)",,,,,,,,shop_model_bk1,,,,,
48,4234,1,,,"K©o Giáng Sinh",,,,,,,,shop_model_bk1,,,,,
49,6242,1,,,"Tiên Ðan Cao C¤p",,,,,,,,shop_model_bk1,,,,,
50,1307,1,,,"Tiên Gi¾i Gia Pháp Dßþc Thüy (99)",,,,,,,,shop_model_bk1,,,,,
51,1303,1,,,"Tiên Gi¾i Gia Huyªt Dßþc Thüy (99)",,,,,,,,shop_model_bk1,,,,,
52,4758,1,,,"Huyªt Bäo Th¥n Ðan (5)",,,,,,,,shop_model_bk1,,,,,
53,4861,1,,,"Cß¶ng Lñc H°i Huyªt Dßþc T¬ c¤p 3",,,,,,,,shop_model_bk1,,,,,
54,567,1,,,"H¡c Viêm Song Ðoän",,,,,,,,shop_model_bk1,,,,,
55,557,1,,,"Vû Khúc Liên Ðao",,,,,,,,shop_model_bk1,,,,,
56,635,1,,,"Can Kim Tiên Cung",,,,,,,,shop_model_bk1,,,,,
57,645,1,,,"Phá Giáp Cñ Nö",,,,,,,,shop_model_bk1,,,,,
58,61,1,,,"Can Thiên Höa Linh Châu",,,,,,,,shop_model_bk1,,,,,
59,51,1,,,"Pháp Hoa Kim Cß½ng Luân",,,,,,,,shop_model_bk1,,,,,
60,41,1,,,"Vî Ðà Th¥n Côn",,,,,,,,shop_model_bk1,,,,,
61,31,1,,,"Khai Quang Thi«n Trßþng",,,,,,,,shop_model_bk1,,,,,
62,21,1,,,"Long Tuy«n Phi Ðao",,,,,,,,shop_model_bk1,,,,,
63,11,1,,,"Kim Ðà Phi Kiªm",,,,,,,,shop_model_bk1,,,,,
64,4496,1,,,"Long H± Gi¾i Chï",,,,,,,,shop_model_bk1,,,,,
65,4497,1,,,"Long H± Hµ Phù",,,,,,,,shop_model_bk1,,,,,
66,4494,1,,,"Hô Phong Gi¾i Chï",,,,,,,,shop_model_bk1,,,,,
67,4495,1,,,"Hoán Vû Hµ Phù",,,,,,,,shop_model_bk1,,,,,
68,4171,1,,,"Qu¥n Tinh ÐÕi Hùng Gi¾i Chï",,,,,,,,shop_model_bk1,,,,,
69,4172,1,,,"Qu¥n Tinh Häi Tßþng Gi¾i Chï",,,,,,,,shop_model_bk1,,,,,
70,4173,1,,,"Qu¥n Tinh Linh H° Gi¾i Chï",,,,,,,,shop_model_bk1,,,,,
71,4107,1,,,"Qu¥n Tinh Cñ Tßþng Gi¾i Chï",,,,,,,,shop_model_bk1,,,,,
72,810,1,,,"(Bµ) Höa Long Chiªn Y",,,,,,,,shop_model_bk1,,,,,
73,811,1,,,"(Bµ) Höa Long Hµ Thü",,,,,,,,shop_model_bk1,,,,,
74,812,1,,,"(Bµ) Höa Long Chiªn Ngoa",,,,,,,,shop_model_bk1,,,,,
75,813,1,,,"(Bµ) Höa Long Hµ Oän",,,,,,,,shop_model_bk1,,,,,
76,814,1,,,"(Bµ) Höa Long Hµ T¤t",,,,,,,,shop_model_bk1,,,,,
77,815,1,,,"(Bµ) Höa Long Ðai",,,,,,,,shop_model_bk1,,,,,
78,816,1,,,"(Bµ) Lôi Âm Chiªn Giáp",,,,,,,,shop_model_bk1,,,,,
79,817,1,,,"(Bµ) Lôi Âm Hµ Thü",,,,,,,,shop_model_bk1,,,,,
80,818,1,,,"(Bµ) Lôi Âm Chiªn Ngoa",,,,,,,,shop_model_bk1,,,,,
81,819,1,,,"(Bµ) Lôi Âm Hµ Oän",,,,,,,,shop_model_bk1,,,,,
82,820,1,,,"(Bµ) Lôi Âm Hµ T¤t",,,,,,,,shop_model_bk1,,,,,
83,821,1,,,"(Bµ) Lôi Âm Ðai",,,,,,,,shop_model_bk1,,,,,
84,822,1,,,"(Bµ) Bách Hþp Vû Thß¶ng",,,,,,,,shop_model_bk1,,,,,
85,823,1,,,"(Bµ) Bách Hþp Hµ Thü",,,,,,,,shop_model_bk1,,,,,
86,824,1,,,"(Bµ) Bách Hþp Nhuy­n Ngoa",,,,,,,,shop_model_bk1,,,,,
87,825,1,,,"(Bµ) Bách Hþp Hµ Oän",,,,,,,,shop_model_bk1,,,,,
88,826,1,,,"(Bµ) Bách Hþp Hµ T¤t",,,,,,,,shop_model_bk1,,,,,
89,827,1,,,"(Bµ) Bách Hþp Ðai",,,,,,,,shop_model_bk1,,,,,
90,828,1,,,"(Bµ) Di®t Ma Liên Giáp",,,,,,,,shop_model_bk1,,,,,
91,829,1,,,"(Bµ) Di®t Ma Hµ Thü",,,,,,,,shop_model_bk1,,,,,
92,830,1,,,"(Bµ) Di®t Ma Liên Ngoa",,,,,,,,shop_model_bk1,,,,,
93,831,1,,,"(Bµ) Di®t Ma Hµ Oän",,,,,,,,shop_model_bk1,,,,,
94,832,1,,,"(Bµ) Di®t Ma Hµ T¤t",,,,,,,,shop_model_bk1,,,,,
95,833,1,,,"(Bµ) Di®t Ma Ðai",,,,,,,,shop_model_bk1,,,,,
96,834,1,,,"(Bµ) Thanh Du§t Chiªn Bào",,,,,,,,shop_model_bk1,,,,,
97,835,1,,,"(Bµ) Thanh Du§t Hµ Thü",,,,,,,,shop_model_bk1,,,,,
98,836,1,,,"(Bµ) Thanh Du§t Khinh Ngoa",,,,,,,,shop_model_bk1,,,,,
99,837,1,,,"(Bµ) Thanh Du§t Hµ Oän",,,,,,,,shop_model_bk1,,,,,
100,838,1,,,"(Bµ) Thanh Du§t Hµ T¤t",,,,,,,,shop_model_bk1,,,,,
101,839,1,,,"(Bµ) Thanh Du§t Ðai",,,,,,,,shop_model_bk1,,,,,
102,4311,1,,,"Süng V§t ÐÕi Sß L®nh Bài",,,,,,,,shop_model_bk1,,,,,
103,4838,1,,,"ÐÕi Tinh Linh Kh¦u Lß½ng",,,,,,,,shop_model_bk1,,,,,
104,4757,1,,,"Tång c¤p Bäo Thß",,,,,,,,shop_model_bk1,,,,,
105,4913,1,,,"Chï Ð¸nh T¦y Nång Bäo Thß",,,,,,,,shop_model_bk1,,,,,
