cmd,desc,priv
hide,隐身,6
show,现身,6
moveto,传送到地点,6
follow,传送到人物,3
see,察看玩家,6
recover,恢复HP和MP,6
bulletin,发公告,6
bulletingroup,公告组,6
bulletincd,倒计时公告,6
moveuser,把人物移动到自己身边,5
pve,4,
movearound,把指定玩家周围的人移动到自己身边,5
moveacct,把指定帐号的人物移动到自己身边,5
kick,踢掉玩家,4
ban,禁止,4
unban,解除禁止,4
clearpk,清除指定玩家PK值,6
guildname,修改玩家公会的名字,9
accept,是否允许登录,9
introbot,反挂机命令,6
info,查看状态,6
createnpc,创建npc,9
removenpc,移出npc,9
clearentertip,清除进入公告,6
setentertip,设置进入公告,6
entertip,查看进入公告,6
startwar,startwar,9
endwar,endwar,9
setwarflag,setwarflag,9
viewwarflag,viewwarflag,9
updatewartime,updatewartime,9
setlev,设置人物等级,6
wsetlev,设置法宝等级,6
addexp,添加经验,6
addcredit,添加声望,5
addnimbus,添加灵力,5
addskill,添加技能,6
addskillexp,增加技能经验值,6
removeskill,删除技能,6
clearskill,清空技能,6
addeffect,添加Buffer,6
cleareffect,清空Buffer,6
addenjoyrate,addenjoyrate,9
setpetlev,setpetlev,9
setsmallpetlev,setsmallpetlev,9
setsmallpetexp,setsmallpetexp,6
guilddestroy,立即解散工会,9
acct,acct,9
actor,actor,9
setmaxuser,设置最大人数,6
shutdown,关闭游戏服务器,6
addmoney,添加金钱,6
additem,添加道具,6
worldadditem,全服务器在线玩家添加道具,6
auction,设置拍卖开关,6
addteacherpoint,增加师道值,6
var,设置服务器变量,6
loadipspecial,加载ip优惠列表,6
