question,option1,option2,option3,option4,answer
当仙宠没有快乐值时无法召唤出来时，哪个道具可以增加仙宠的快乐值？,仙宠口粮,紫玄果,凝神果,我不知道,1
以下哪个道具可以增加仙禽妖兽宝宝的快乐值？,妖兽粮食,紫玄果,凝神果,我不知道,1
以下哪个按键为隐藏周围玩家的功能键？(提示：可以尝试按键看看),F12键,W键,Y键,Z键,1
以下哪个按键可以查看任务列表？(提示：可以尝试按键看看),S键,C键,T键,I键,3
以下哪个按键可以查看人物界面？(提示：可以尝试按键看看),S键,C键,T键,I键,2
30级时可以使用凝神系统获得大量经验、灵力，以下哪个按键可以查看凝神界面？(提示：可以尝试按键看看),S键,C键,N键,I键,3
以下哪个按键可以查看可使用技能界面？(提示：可以尝试按键看看),S键,C键,N键,I键,1
"鼠标右键点击屏幕左上方自己人物头像,可以切换攻击模式吗？",可以,不可以,我去问问,我不知道,1
人物达到多少等级以后可以在世界频道说话？,60级,18级,50级,40级,2
以下哪个答案为可以拜师的等级范围？,5～60级,10～60级,5～20级,30～60级,3
人物达到多少级可以收取徒弟？,30级以上,1级以上,50级以上,60级以上,1
人物达到多少级可以创建帮会？,10级,20级,50级,60级以上,2
凝神可以获得大量经验、灵力奖励，人物多少级才能够凝神？,5级,15级,30级,50级,3
如何让装备上标有“未鉴定”的属性发挥作用？,去铁匠处鉴定,掌柜处拍卖,药师处买药,李半仙处接任务,1
点击屏幕右上方哪个小图标，可以查看当前地图上的NPC位置？,眼睛形图标,月亮形图标,方形图标,圆形图标,1
玩家被怪物击倒是否掉落经验、灵力？,会掉落,不掉落,我不知道,有时候掉有时候不掉,1
怎样避免在被怪物击倒后掉落经验、灵力的惩罚？,祈祷,使用替身草人复活,等人复活,不能复活,2
坐骑经过锻造后，会大幅提升移动速度，需要到哪里去锻造？,找铁匠锻造,喂养坐骑,我不知道,不能提高,1
10级以后，下线也能获得经验与灵力，是通过以下哪种方式？,开启元神闭关功能,许愿,不能获得,我不知道,1
30级以后，怎样才能大幅提升下线闭关修炼的经验、灵力奖励？,闭关时使用紫玄果,在城里闭关,我不知道,不能提高,1
修炼主法宝可以大幅提升攻击力，修炼法宝图标在哪个界面里？,人物角色界面(C),技能界面(S),任务界面(T),我不知道,2
坐骑锻造到多少等级以后，可以在副本中骑乘？,锻造到+1,锻造到+9,锻造到+4,锻造到+7,4
30级使用凝神功能可获得大量经验、灵力奖励，凝神时需要使用什么道具？,紫玄果,凝神果,芭乐果,我不知道,2
击倒怪物和完成任务可以获得灵力，灵力可以作为什么用途？,修炼法宝等级,换取经验,我不知道,升级坐骑,1
玩家每日可以完成1个任务获得双倍经验药丸，这个任务可以从哪里领取？,天化村药师,天化村铁匠,天化村仓库管理员,我不知道,1
运行蜀门OL的同时运行非法辅助类软件(包括按键精灵、简单游等)是否会被封号？,会,不会,我不知道,问问别人,1
在聊天框中打入“/玩家姓名”，是否可以与玩家进行私聊？,是,不是,我不知道,看不清楚,1
百花职业如果要给其他玩家加血的话，应该使用哪个辅助法宝？,贝叶灵符,炼魔神针,紫云障,紫金梭,1
小仙宠快乐值为0时，召唤出来后，一会就消失了，这个时候应该先召唤出仙宠，然后做哪个操作就可以长时间使用小仙宠了？,使用仙宠口粮,修炼法宝,喝水,我不知道,1
将道具拆分成2堆，需要进行什么操作？(提示：可以尝试按键看看),W键,Y键,shift+鼠标左键,Z键,3
1元人民币可以换取多少蜀门钻石？,1钻,10钻,100钻,1000钻,3
