,,,,,,,,,,,
,等级,人物经验,人物金钱,下一级所需灵力,下一级所需金钱,单只怪物经验,升级所需怪物数,预计时间(小时),总时间(小时),每级金钱,灵力上限
ID,lev,exp,gold,next_nimbus,next_gold,,,,,,max_nimbus
1,1,"	900 ","72 ",50,"22 ",60,"12 ","0.1 ","0 ","72 ",1375
2,2,"	1625 ","130 ",50,"24 ",65,"20 ","0.2 ","0 ","140 ","1677 "
3,3,"	2450 ","210 ",50,"26 ",70,"30 ","0.3 ","1 ","210 ","2021 "
4,4,"	3750 ","300 ",50,"28 ",75,"40 ","0.3 ","1 ","320 ","2563 "
5,5,"	4800 ","400 ",50,"30 ",80,"50 ","0.4 ","1 ","400 ","3000 "
6,6,"	5950 ","510 ",50,"32 ",85,"60 ","0.5 ","2 ","540 ","3479 "
7,7,"	7200 ","630 ",50,"34 ",90,"70 ","0.6 ","2 ","630 ","4000 "
8,8,"	8550 ","760 ",50,"36 ",95,"80 ","0.7 ","3 ","800 ","4563 "
9,9,"	10000 ","900 ",50,"38 ",100,"90 ","0.8 ","4 ","900 ","5167 "
10,10,"	11550 ","1050 ",50,"40 ",105,"100 ","0.8 ","5 ","1100 ","5813 "
11,11,"	13200 ","1210 ",50,"42 ",110,"110 ","0.9 ","6 ","1210 ","6500 "
12,12,"	14950 ","1380 ",50,"44 ",115,"120 ","1.0 ","7 ","1440 ","7229 "
13,13,"	16800 ","1560 ",50,"46 ",120,"130 ","1.1 ","8 ","1560 ","8000 "
14,14,"	18750 ","1750 ",50,"48 ",125,"140 ","1.2 ","9 ","1820 ","8813 "
15,15,"	20800 ","1950 ",50,"50 ",130,"150 ","1.3 ","10 ","1950 ","9667 "
16,16,"	22950 ","2160 ",50,"52 ",135,"160 ","1.3 ","11 ","2240 ","10563 "
17,17,"	25200 ","2380 ",50,"54 ",140,"170 ","1.4 ","13 ","2380 ","11500 "
18,18,"	27550 ","2610 ",50,"56 ",145,"180 ","1.5 ","14 ","2700 ","12479 "
19,19,"	33000 ","2850 ",50,"58 ",150,"190 ","1.6 ","16 ","2850 ","14750 "
20,20,"	37200 ","3720 ",50,"60 ",155,"240 ","2.0 ","18 ","3840 ","16500 "
21,21,"	41600 ","4736 ",50,"62 ",160,"296 ","2.5 ","20 ","4736 ","18333 "
22,22,"	46200 ","5924 ",50,"64 ",165,"359 ","3.0 ","23 ","6103 ","20250 "
23,23,"	51000 ","7310 ",50,"66 ",170,"430 ","3.6 ","27 ","7310 ","22250 "
24,24,"	57750 ","8908 ",50,"68 ",175,"509 ","4.2 ","31 ","9162 ","25063 "
25,25,"	64800 ","10746 ",50,"70 ",180,"597 ","5.0 ","36 ","10746 ","28000 "
26,26,"	72150 ","12858 ",50,"72 ",185,"695 ","5.8 ","42 ","13205 ","31063 "
27,27,"	79800 ","15257 ",50,"74 ",190,"803 ","6.7 ","49 ","15257 ","34250 "
28,28,"	89700 ","17999 ",50,"76 ",195,"923 ","7.7 ","56 ","18460 ","38375 "
29,29,"	100000 ","21100 ",50,"78 ",200,"1055 ","8.8 ","65 ","21100 ","42667 "
30,30,"	123000 ","24600 ",50,"80 ",205,"1200 ","10.0 ","75 ","25200 ","52250 "
31,31,"	147000 ","28539 ",50,"82 ",210,"1359 ","11.3 ","86 ","28539 ","62250 "
32,32,"	172000 ","32960 ",50,"84 ",215,"1533 ","12.8 ","99 ","33726 ","72667 "
33,33,"	198000 ","37906 ",50,"86 ",220,"1723 ","14.4 ","114 ","37906 ","83500 "
34,34,"	225000 ","43403 ",50,"88 ",225,"1929 ","16.1 ","130 ","44367 ","94750 "
35,35,"	253000 ","49542 ",50,"90 ",230,"2154 ","18.0 ","148 ","49542 ","106417 "
36,36,"	282000 ","56330 ",50,"92 ",235,"2397 ","20.0 ","168 ","57528 ","118500 "
37,37,"	312000 ","63840 ",50,"94 ",240,"2660 ","22.2 ","190 ","63840 ","131000 "
38,38,"	343000 ","67947 ",50,"96 ",245,"2773 ","23.1 ","213 ","69333 ","143917 "
39,39,"	375000 ","72167 ",50,"98 ",250,"2887 ","24.1 ","237 ","72167 ","157250 "
40,40,"	405450 ","76500 ",50,"100 ",255,"3000 ","25.0 ","262 ","78000 ","169938 "
41,41,"	436800 ","85800 ",50,"102 ",260,"3300 ","27.5 ","289 ","85800 ","183000 "
42,42,"	469050 ","95400 ",50,"104 ",265,"3600 ","30.0 ","319 ","97200 ","196438 "
43,43,"	502200 ","105300 ",50,"106 ",270,"3900 ","32.5 ","352 ","105300 ","210250 "
44,44,"	536250 ","115500 ",50,"108 ",275,"4200 ","35.0 ","387 ","117600 ","224438 "
45,45,"	571200 ","126000 ",50,"110 ",280,"4500 ","37.5 ","424 ","126000 ","239000 "
46,46,"	607050 ","136800 ",50,"112 ",285,"4800 ","40.0 ","464 ","139200 ","253938 "
47,47,"	643800 ","147900 ",50,"114 ",290,"5100 ","42.5 ","507 ","147900 ","269250 "
48,48,"	681450 ","159300 ",50,"116 ",295,"5400 ","45.0 ","552 ","162000 ","284938 "
49,49,"	720000 ","171000 ",50,"118 ",300,"5700 ","47.5 ","599 ","171000 ","301000 "
50,50,"	759450 ","183000 ",50,"120 ",305,"6000 ","50.0 ","649 ","186000 ","317438 "
51,51,"	799800 ","197691 ",50,"122 ",310,"6377 ","53.1 ","703 ","197691 ","334250 "
52,52,"	841050 ","212760 ",50,"124 ",315,"6754 ","56.3 ","759 ","216137 ","351438 "
53,53,"	883200 ","228206 ",50,"126 ",320,"7131 ","59.4 ","818 ","228206 ","369000 "
54,54,"	926250 ","244029 ",50,"128 ",325,"7509 ","62.6 ","881 ","247783 ","386938 "
55,55,"	970200 ","260229 ",50,"130 ",330,"7886 ","65.7 ","947 ","260229 ","405250 "
56,56,"	1015050 ","276806 ",50,"132 ",335,"8263 ","68.9 ","1015 ","280937 ","423938 "
57,57,"	1060800 ","293760 ",50,"134 ",340,"8640 ","72.0 ","1087 ","293760 ","443000 "
58,58,"	1107450 ","311091 ",50,"136 ",345,"9017 ","75.1 ","1163 ","315600 ","462438 "
59,59,"	1155000 ","328800 ",50,"138 ",350,"9394 ","78.3 ","1241 ","328800 ","482250 "
60,60,"	1214100 ","346886 ",50,"140 ",355,"9771 ","81.4 ","1322 ","351771 ","506875 "
61,61,"	1404000 ","464091 ",50,"142 ",360,"12891 ","107.4 ","1430 ","464091 ","586000 "
62,62,"	1642500 ","584417 ",50,"144 ",365,"16011 ","133.4 ","1563 ","592423 ","685375 "
63,63,"	1887000 ","707863 ",50,"146 ",370,"19131 ","159.4 ","1723 ","707863 ","787250 "
64,64,"	2137500 ","834429 ",50,"148 ",375,"22251 ","185.4 ","1908 ","845554 ","891625 "
65,65,"	2394000 ","964114 ",50,"150 ",380,"25371 ","211.4 ","2119 ","964114 ","998500 "
66,66,"	2695000 ","1096920 ",50,"152 ",385,"28491 ","237.4 ","2357 ","1111166 ","1123917 "
67,67,"	3120000 ","1232846 ",50,"154 ",390,"31611 ","263.4 ","2620 ","1232846 ","1301000 "
68,68,"	3555000 ","1371891 ",50,"156 ",395,"34731 ","289.4 ","2910 ","1389257 ","1482250 "
69,69,"	4000000 ","1514057 ",50,"158 ",400,"37851 ","315.4 ","3225 ","1514057 ","1667667 "
70,70,"	4860000 ","1659343 ",50,"160 ",405,"40971 ","341.4 ","3567 ","1679829 ","2026000 "
71,71,"	6150000 ","4920000 ",50,"162 ",410,"120000 ","1000.0 ","4567 ","4920000 ","2563500 "
72,72,"	7470000 ","7048000 ",50,"164 ",415,"169831 ","1415.3 ","5982 ","7132916 ","3113500 "
73,73,"	8820000 ","12196000 ",50,"166 ",420,"290381 ","2419.8 ","8402 ","12196000 ","3676000 "
74,74,"	1020000 ","17704000 ",50,"168 ",425,"416565 ","3471.4 ","11873 ","17912282 ","4251000 "
75,75,"	1161000 ","23572000 ",50,"170 ",430,"548186 ","4568.2 ","16441 ","23572000 ","4838500 "
76,76,"	13050000 ","3460000 ",50,"172 ",435,"79540 ","662.8 ","17104 ","3499770 ","5438500 "
77,77,"	15400000 ","3660000 ",50,"174 ",440,"83182 ","693.2 ","17797 ","3660000 ","6417667 "
78,78,20572000,"3860000 ",50,"176 ",445,"86742 ","722.8 ","18520 ","3903371 ","7417667 "
79,79,115720000,"4060000 ",50,"178 ",450,"90222 ","751.9 ","19272 ","4060000 ","8438500 "
80,80,235720000,"4260000 ",50,"180 ",455,"93626 ","780.2 ","20052 ","4306813 ","9480167 "
81,81,275720000,"4460000 ",50,"182 ",460,"96957 ","808.0 ","20860 ","4460000 ","12501000 "
82,82,305720000,"4660000 ",50,"184 ",465,"100215 ","835.1 ","21695 ","4710108 ","12501000 "
83,83,335720000,"4860000 ",50,"186 ",470,"103404 ","861.7 ","22557 ","4860000 ","12501000 "
84,84,355720000,"5060000 ",50,"188 ",475,"106526 ","887.7 ","23445 ","5113263 ","12501000 "
85,85,375720000,"5260000 ",50,"190 ",480,"109583 ","913.2 ","24358 ","5260000 ","12501000 "
86,86,475720000,"5460000 ",50,"192 ",485,"112577 ","938.1 ","25296 ","5516289 ","12501000 "
87,87,585720000,"5660000 ",50,"194 ",490,"115510 ","962.6 ","26259 ","5660000 ","12501000 "
88,88,655720000,"5860000 ",50,"196 ",495,"118384 ","986.5 ","27245 ","5919192 ","12501000 "
