索引,,名字,声望,,,
ID,,name,credit,,,
1,峨眉,$L:sn001_emei$,1000000,,,1000000 
2,佛门,,1000000,,,1000000 
3,百花,,1000000,,,1000000 
11,凝碧崖,$L:sn001_yingbiya$,1000000,,,1000000 
12,峨嵋,$L:sn001_emei$,1000000,,,1000000 
13,天化村,$L:credit_tianhua$,8000,5250 ,150,15000 
14,云灵山,$L:credit_yunlin$,25000,15700 ,300,30000 
15,成都,$L:credit_chengdu$,30000,15000 ,600,60000 
16,慈云寺,$L:credit_ciyunsi$,50000,24900 ,1200,120000 
17,虎爪山,$L:credit_huzha$,25000,15700 ,300,30000 
18,育成村,$L:sn001_yuchengcun$,15000,,150,15000 
19,百花山,$L:sn001_baihuashan$,1000000,,,1000000 
20,云灵山蛇穴,$L:ectype_yunlingshanshexue$,1000000,,,1000000 
21,慈云寺欢喜殿,$L:ectype_ciyunsihuanxidian$,1000000,,,1000000 
22,雪山村落,$L:credit_xueshan$,100000,66600 ,1200,120000 
23,青城山,,1000000,,,1000000 
24,鸦林砦,$L:sn001_yalingzhai$,1000000,,,1000000 
25,黑谷,,1000000,,,1000000 
26,桂花山,$L:credit_guihua$,70000,43500 ,1200,120000 
27,虎爪山藤须洞,$L:Scenestable_huzhuashantengxvdong$,1000000,,,1000000 
28,青螺山,$L:credit_qingluo$,150000,84000 ,,1000000 
29,莽苍山,$L:credit_mangcang$,45000,,450,45000 
30,戴家场,$L:credit_daijia$,500000,265600 ,450,45000 
31,马熊村,$L:credit_maxiong$,200000,107400 ,,0 
100,活动,,1000000,,,1000000 
32,鱼神洞七星台,$L:credit_qixingtai$,1000000,,1000000,
33,吕村先祖墓地,$L:credit_lvcunzufen$,50000,,250000,
34,月龙村,$L:credit_yuelongcun$,750000,,,
35,丽江村,$L:credit_lijiangcun$,20000,,20000,
36,万竹涧,$L:fuben011_wanzhujian$,20000,,,
37,栖云洞,$L:credit_qiyundong$,20000,,,
38,飞雷岭,$L:credit_feileiling$,120000,0 ,120000,1200
39,幽暗密林,$L:credit_youanmilin$,1000000,,1000000,
40,玄石之界,$L:credit_xuanshizhijie$,1000000,,1000000,
,,,总杀怪数,,,
,,10,525,,,
,,20,1570,,,
,,25,1500,,,
,,30,2490,,,
,,35,4350,,,
,,40,6660,,,
,,45,8400,,,
,,50,10740,,,
,,60,26560,,,
