,等级,元神经验,
ID,lev,exp,day
1,1,3000,1
2,2,3100,1
3,3,3200,1
4,4,3300,1
5,5,3400,1
6,6,3500,1
7,7,3600,1
8,8,3700,1
9,9,3800,1
10,10,3900,1
11,11,4000,1
12,12,4100,1
13,13,4200,1
14,14,4300,1
15,15,4400,1
16,16,4500,1
17,17,4600,1
18,18,4700,1
19,19,4800,1
20,20,4900,1
21,21,5000,1
22,22,5100,1
23,23,5200,1
24,24,5300,1
25,25,5400,1
26,26,5500,1
27,27,5600,1
28,28,5700,1
29,29,5800,1
30,30,5900,1
31,31,12000,2
32,32,12200,2
33,33,12400,2
34,34,12600,2
35,35,12800,2
36,36,13000,2
37,37,13200,2
38,38,13400,2
39,39,13600,2
40,40,13800,2
41,41,14000,2
42,42,14200,2
43,43,14400,2
44,44,14600,2
45,45,14800,2
46,46,15000,2
47,47,15200,2
48,48,15400,2
49,49,15600,2
50,50,15800,2
51,51,16000,2
52,52,16200,2
53,53,16400,2
54,54,16600,2
55,55,16800,2
56,56,17000,2
57,57,17200,2
58,58,17400,2
59,59,17600,2
60,60,17800,2
61,61,27000,3
62,62,27300,3
63,63,27600,3
64,64,27900,3
65,65,28200,3
66,66,28500,3
67,67,28800,3
68,68,29100,3
69,69,29400,3
70,70,29700,3
71,71,30000,3
72,72,30300,3
73,73,30600,3
74,74,30900,3
75,75,31200,3
76,76,31500,3
77,77,31800,3
78,78,32100,3
79,79,32400,3
80,80,32700,3
81,81,33000,3
82,82,33300,3
83,83,33600,3
84,84,33900,3
85,85,34200,3
86,86,34500,3
87,87,34800,3
88,88,35100,3
89,89,35400,3
90,90,35700,3
91,91,36000,3
92,92,36300,3
93,93,36600,3
94,94,36900,3
95,95,37200,3
96,96,37500,3
97,97,37800,3
98,98,38100,3
99,99,38400,3
100,100,38700,3
