,备注,int[网络标记],int[聊天范围],int[聊天内容长度限制],int[GM聊天内容长度限制],int[聊天最小等级],int[聊天最小等级],int[聊天最小周期<单位：秒>],int[GM聊天最小周期<单位：秒>],int[发言最小权限],int[允许某类道具抵扣],bool[gm道具免费],int[0xffffffff]颜色,string[接收过滤列表复选框界面名字],string[发送频道按钮界面名字],string[界面上频道相关控件显示名称],string[发送频道显示前缀],string[接收频道显示前缀],string[切换频道快捷1],string[切换频道快捷2],string[单句指定频道快捷1],string[单句指定频道快捷2]
ID,,NetFlag,MaxRange,ContentLength,GMContentLength,MinLevel,GMMinLevel,MinTime,GMMinTime,MinAuthority,ItemTypeReplace,GMItemFree,Color,UiFilterName,UiName,UIFlag,SendDisplayPrefix,ReceiveDisplayPrefix,SwitchShortcut1,SwitchShortcut2,Shortcut1,Shortcut2
1,普通频道,1,300,300,1024,0,0,1,1,0,0,0,0xffffffff,layWorld.frChannelFilter.ckbGeneral,layWorld.frChannel.btGeneral,$L:channelinfoname_shuo$,$L:channelinfo_shuo$,$L:channelinfostring_shuo$,/s,/S,//s,//S
2,队伍频道,2,0,300,1024,0,0,1,1,0,0,0,0xffaaaaff,layWorld.frChannelFilter.ckbTeam,layWorld.frChannel.btTeam,$L:channelinfoname_xiaodui$,$L:channelinfo_xiaodui$,$L:channelinfostring_xiaodui$,/t,/T,//t,//T
3,工会频道,3,0,300,1024,0,0,1,1,0,0,0,0xff40ff40,layWorld.frChannelFilter.ckbGuild,layWorld.frChannel.btGuild,$L:channelinfoname_gonghui$,$L:channelinfo_gonghui$,$L:channelinfostring_gonghui$,/g,/G,//g,//G
4,大喊频道,4,600,300,1024,0,0,1,1,0,0,0,0xffff4040,layWorld.frChannelFilter.ckbShout,layWorld.frChannel.btShout,$L:channelinfoname_dahan$,$L:channelinfo_dahan$,$L:channelinfostring_handao$,/y,/Y,//y,//Y
5,私聊频道,5,0,300,1024,0,0,1,1,0,0,0,0xffff7eff,layWorld.frChannelFilter.ckbPrivy,layWorld.frChannel.btPrivy,$L:channelinfoname_siliao$,$L:channelinfo_gaosu$,$L:channelinfostring_qiaoqiaodishuo$,,,,
6,私聊回复频道,6,0,300,1024,0,0,1,1,0,0,0,0xffff7eff,,,$L:channelinfoname_siliaohuifu$,,$L:channelinfostring_fasonggei$,,,,
7,系统频道,7,0,300,1024,0,0,1,1,0,0,0,0xfffffb00,layWorld.frChannelFilter.ckbSystem,,$L:channelinfoname_xitong$,,,,,,
8,门派频道[未开启],8,0,300,1024,0,0,1,1,0,0,0,0xff1c67b3,,,,,,,,,
9,交易频道[未开启],9,0,300,1024,0,0,1,1,0,0,0,0xffffff00,,,,,,,,,
10,世界频道,10,0,300,1024,10,0,30,1,0,92,1,0xff33ffff,layWorld.frChannelFilter.ckbWorld,layWorld.frChannel.btWorld,$L:channelinfoname_shijie$,$L:channelinfo_shijie$,$L:channelinfostring_shijie$,/w,/W,//w,//W
11,NPC频道,11,0,300,1024,0,0,1,1,0,0,0,0xffafafaf,,,NPC,,$L:channelinfostring_shuo2$,,,,
12,本门频道,12,0,300,1024,0,0,1,1,0,0,0,0xff33ffaa,layWorld.frChannelFilter.ckbOwnParty,layWorld.frChannel.btOwnParty,$L:channelinfoname_OwnParty$,$L:channelinfo_OwnParty$,$L:channelinfostring_OwnParty$,/o,/O,//o,//O
13,师门频道,13,0,300,1024,0,0,1,1,0,0,0,0xffec13e7,layWorld.frChannelFilter.ckbMasterParty,layWorld.frChannel.btMasterParty,$L:channelinfoname_MasterParty$,$L:channelinfo_MasterParty$,$L:channelinfostring_MasterParty$,/m,/M,//m,//M
14,传媒频道,14,0,300,1024,0,0,1,1,3,0,0,0xffee9900,layWorld.frChannelFilter.ckbRumor,layWorld.frChannel.btRumor,$L:channelinfoname_Rumor$,$L:channelinfo_Rumor$,$L:channelinfostring_Rumor$,/u,/U,//u,//U
15,求组频道,15,0,300,1024,0,0,10,1,0,0,0,0xff339900,layWorld.frChannelFilter.ckbFindTeam,layWorld.frChannel.btFindTeam,$L:channelinfoname_FindTeam$,$L:channelinfo_FindTeam$,$L:channelinfostring_FindTeam$,/f,/F,//f,//F
16,好友频道,16,0,300,1024,0,0,1,1,0,0,0,0xffff8400,layWorld.frChannelFilter.ckbFriend,layWorld.frChannel.btFriend,$L:channelinfoname_Friend$,$L:channelinfo_Friend$,$L:channelinfostring_Friend$,/d,/D,//d,//D
