,编号,等级,说明,掉落物品,
,ID,,,DropItems,DropRate
1,1,1,1级的武器,"14,0;34,0;54,0;",0.01
2,2,10,10级的武器,"5,0;25,0;45,0;",0.01
3,3,10,10级的武器,"15,0;35,0;55,0;",0.01
4,4,20,20级的武器,"6,0;26,0;46,0;",0.01
5,5,20,20级的武器,"16,0;36,0;56,0;",0.01
6,6,30,30级的武器,"7,0;27,0;47,0;",0.01
7,7,30,30级的武器,"17,0;37,0;57,0;",0.01
8,8,,40级的武器,,
9,9,,40级的武器,,
10,10,,50级的武器,,
11,11,,50级的武器,,
12,12,,60级的武器,,
13,13,,60级的武器,,
14,14,,70级的武器,,
15,15,,70级的武器,,
16,16,80,80级的装备,"617,0;626,0;599,0;608,0;581,0;590,0;328,0;337,0;310,0;319,0;301,0;292,0;283,0;274,0;265,0;146,0;155,0;137,0;128,0;119,0;110,0;92,0;101,0;83,0;659,0;668,0;677,0;686,0;695,0;704,0;",0.5
17,17,80,80级的武器,"11,0;21,0;31,0;41,0;51,0;61,0;557,0;567,0;635,0;645,0;",0.5
18,18,,90级的武器,,
19,19,,90级的武器,,
20,20,,100级的武器,,
21,100,20,20级辅助法宝,"67,0;68,0;74,0;572,0",0.01
22,101,30,30级辅助法宝,"66,0;69,0;75,0;573,0",0.01
23,102,35,35级辅助法宝,"66,0;69,0;75,0;",0.01
24,200,8,8级衣服,"76,0;103,0;130,0;574,0;652,0",0.01
25,201,18,18级衣服,"77,0;104,0;131,0;575,0;653,0",0.01
26,202,28,28级衣服,"78,0;105,0;132,0;576,0;654,0",0.01
27,203,38,38级衣服,"79,0;106,0;133,0;577,0;655,0",0.01
,204,48,48级衣服,"80,0;107,0;134,0;578,0;656,0",0.01
,205,58,58级衣服,"81,0;108,0;135,0;579,0;657,0",0.01
,206,68,68级衣服,"82,0;109,0;136,0;580,0;658,0",0.01
,207,78,68级衣服,"83,0;110,0;137,0;581,0;659,0",0.01
,,,,,
,,,,,
28,300,3,3级护手,"85,0;112,0;139,0;583,0;661,0",0.01
29,301,13,13级护手,"86,0;113,0;140,0;584,0;662,0",0.01
30,302,23,23级护手,"87,0;114,0;141,0;585,0;663,0",0.01
31,303,33,33级护手,"88,0;115,0;142,0;586,0;664,0",0.01
,304,43,43级护手,"89,0;116,0;143,0;587,0;665,0",0.01
,305,53,53级护手,"90,0;117,0;144,0;588,0;666,0",0.01
,306,63,63级护手,"91,0;118,0;145,0;589,0;667,0",0.01
,307,73,63级护手,"92,0;119,0;146,0;590,0;668,0",0.01
,,,,,
,,,,,
32,400,5,5级靴子,"94,0;121,0;148,0;592,0;670,0",0.01
33,401,15,15级靴子,"95,0;122,0;149,0;593,0;671,0",0.01
34,402,25,25级靴子,"96,0;123,0;150,0;594,0;672,0",0.01
35,403,35,35级靴子,"97,0;124,0;151,0;595,0;673,0",0.01
,404,45,45级靴子,"98,0;125,0;152,0;596,0;674,0",0.01
,405,55,55级靴子,"99,0;126,0;153,0;597,0;675,0",0.01
,406,65,65级靴子,"100,0;127,0;154,0;598,0;676,0",0.01
,407,75,65级靴子,"101,0;128,0;155,0;599,0;677,0",0.01
,,,,,
,,,,,
36,500,2,2级护腕,"258,0;267,0;276,0;601,0;679,0",0.01
37,501,12,12级护腕,"259,0;268,0;277,0;602,0;680,0",0.01
38,502,22,22级护腕,"260,0;269,0;278,0;603,0;681,0",0.01
39,503,32,32级护腕,"261,0;270,0;279,0;604,0;682,0",0.01
,504,42,42级护腕,"262,0;271,0;280,0;605,0;683,0",0.01
,505,52,52级护腕,"263,0;272,0;281,0;606,0;684,0",0.01
,506,62,62级护腕,"264,0;273,0;282,0;607,0;685,0",0.01
,507,72,62级护腕,"265,0;274,0;283,0;608,0;686,0",0.01
,,,,,
,,,,,
40,600,4,4级护膝,"285,0;294,0;303,0;610,0;688,0",0.01
41,601,14,14级护膝,"286,0;295,0;304,0;611,0;689,0",0.01
42,602,24,24级护膝,"287,0;296,0;305,0;612,0;690,0",0.01
43,603,34,34级护膝,"288,0;297,0;306,0;613,0;691,0",0.01
,604,44,44级护膝,"289,0;298,0;307,0;614,0;692,0",0.01
,605,54,54级护膝,"290,0;299,0;308,0;615,0;693,0",0.01
,606,64,64级护膝,"291,0;300,0;309,0;616,0;694,0",0.01
,607,74,64级护膝,"292,0;301,0;310,0;617,0;695,0",0.01
,,,,,
,,,,,
44,700,6,6级腰带,"312,0;321,0;330,0;619,0;697,0",0.01
45,701,16,16级腰带,"313,0;322,0;331,0;620,0;698,0",0.01
46,702,26,26级腰带,"314,0;323,0;332,0;621,0;699,0",0.01
47,703,36,36级腰带,"315,0;324,0;333,0;622,0;700,0",0.01
,704,46,46级腰带,"316,0;325,0;334,0;623,0;701,0",0.01
,705,56,56级腰带,"317,0;326,0;335,0;624,0;702,0",0.01
,706,66,66级腰带,"318,0;327,0;336,0;625,0;703,0",0.01
,707,76,66级腰带,"319,0;328,0;337,0;626,0;704,0",0.01
,,,,,
,,,,,
48,800,7,7级扳指,"238,0;",0.01
49,801,17,17级扳指,"239,0;",0.01
50,802,27,27级扳指,"240,0;",0.01
51,803,37,37级扳指,"241,0;",0.01
,804,47,47级扳指,"242,0;",0.01
,805,57,57级扳指,"243,0;",0.01
,806,67,67级扳指,"244,0;",0.01
,807,77,67级扳指,"245,0;",0.01
,,,,,
,,,,,
52,900,9,9级护符,"248,0;",0.01
53,901,19,19级护符,"249,0;",0.01
54,902,29,29级护符,"250,0;",0.01
55,903,39,39级护符,"251,0;",0.01
,904,49,49级护符,"252,0;",0.01
,905,59,50级护符,"253,0;",0.01
,906,69,51级护符,"254,0;",0.01
,907,79,51级护符,"255,0;",0.01
,,,,,
,,,,,
56,1000,10,小红药水,"200,0;",0.01
57,1001,10,小蓝药水,"202,0;",0.01
58,2002,10,10级的武器,"5,0;25,0;45,0;551,0;629,0",0.05
59,2003,15,15级的武器,"15,0;35,0;55,0;561,0;639,0",0.05
60,2004,20,20级的武器,"6,0;26,0;46,0;552,0;630,0;16,0;36,0;56,0;562,0;640,0",0.05
61,2100,15,15级辅助法宝,"65,0;71,0;72,0;571,0;649,0;",0.05
62,2201,18,18级衣服,"77,0;104,0;131,0;575,0;653,0",0.05
63,2301,13,13级护手,"86,0;113,0;140,0;584,0;662,0",0.05
64,2401,15,15级靴子,"95,0;122,0;149,0;593,0;671,0",0.05
65,2501,12,12级护腕,"259,0;268,0;277,0;602,0;680,0",0.05
66,2601,14,14级护膝,"286,0;295,0;304,0;611,0;689,0",0.05
67,2701,16,16级腰带,"313,0;322,0;331,0;620,0;698,0",0.05
68,2801,17,17级扳指,"239,0;",0.05
69,2900,9,9级护符,"248,0;",0.05
70,2901,19,19级护符,"249,0;",0.05
71,2902,8,8级衣服,"76,0;103,0;130,0;574,0;652,0",0.05
72,2903,6,6级腰带,"312,0;321,0;330,0;619,0;697,0",0.05
73,2904,7,7级扳指,"238,0;",0.05
74,3003,15,15级的武器,"5,0;25,0;45,0;551,0;629,0;15,0;35,0;55,0;561,0;639,0",0.8
75,3004,20,20级的武器,"6,0;26,0;46,0;552,0;630,0;16,0;36,0;56,0;562,0;640,0",0.8
76,3005,20,20级的武器,"16,0;36,0;56,0;562,0;640,0",0.8
77,3100,15,15级辅助法宝,"64,0;70,0;73,0;570,0;648,0",0.8
78,3201,18,18级衣服,"77,0;104,0;131,0;575,0;653,0",0.8
79,3301,13,13级护手,"86,0;113,0;140,0;584,0;662,0",0.8
80,3801,17,17级扳指,"239,0;",0.8
81,3901,19,19级护符,"249,0;",0.8
,,,,,
82,4001,30,30级的武器1,"7,0;27,0;57,0;553,0;631,0;",0.05
83,4002,30,30级的武器2,"17,0;37,0;47,0;563,0;641,0;",0.05
84,4003,20,20级辅助法宝,"67,0;68,0;74,0;572,0;650,0;",0.05
85,4004,30,30级辅助法宝,"66,0;69,0;75,0;573,0;651,0;",0.05
86,4005,28,28级衣服,"78,0;105,0;132,0;576,0;654,0;",0.05
87,4006,23,23级护手,"87,0;114,0;141,0;585,0;663,0;",0.05
88,4007,25,25级靴子,"96,0;123,0;150,0;594,0;672,0;",0.05
89,4008,22,22级护腕,"260,0;269,0;278,0;603,0;681,0;",0.05
90,4009,24,24级护膝,"287,0;296,0;305,0;612,0;690,0;",0.05
91,4010,26,26级腰带,"314,0;323,0;332,0;621,0;699,0;",0.05
92,4011,27,27级扳指,"240,0;",0.05
93,4012,29,29级护符,"250,0;",0.05
,,,,,
,4101,30,30级的武器,"7,0;27,0;57,0;553,0;631,0;",0.8
,4102,30,30级的武器,"17,0;37,0;47,0;563,0;641,0;",0.8
,4103,20,20级辅助法宝,"67,0;68,0;74,0;572,0;650,0;",0.8
,4104,30,30级辅助法宝,"66,0;69,0;75,0;573,0;651,0;",0.8
,4105,28,28级衣服,"78,0;105,0;132,0;576,0;654,0;",0.8
,4106,23,23级护手,"87,0;114,0;141,0;585,0;663,0;",0.8
,4107,25,25级靴子,"96,0;123,0;150,0;594,0;672,0;",0.8
,4108,22,22级护腕,"260,0;269,0;278,0;603,0;681,0;",0.8
,4109,24,24级护膝,"287,0;296,0;305,0;612,0;690,0;",0.8
,4110,26,26级腰带,"314,0;323,0;332,0;621,0;699,0;",0.8
,4111,27,27级扳指,"240,0;",0.8
,4112,29,29级护符,"250,0;",0.8
,,,,,
105,4500,1,绿色鉴定宝石,"344,0;",0.01
,,,,,
,4501,1,小怪宝石组,"344,0;344,0;344,0;344,0;404,0;404,0;404,0;401,0;1079,0;",0
,4502,1,副本绿宝组,"344,0;344,0;344,0;344,0;404,0;404,0;404,0;401,0;1079,0;",0
,4503,1,小boss绿宝组,"344,0;344,0;344,0;344,0;404,0;404,0;404,0;401,0;1079,0;",0
,4504,1,小boss蓝宝组,"382,0;382,0;382,0;382,0;405,0;405,0;402,0;1158,0;",0
,4505,1,金色组,"383,0;383,0;406,0;406,0;403,0;",0
,4506,1,1级材料,"2000,0;2001,0;2002,0;2015,0;2016,0;",0.1
,4507,1,2级材料,"2003,0;2004,0;2005,0;2017,0;2018,0;",0.1
,4508,1,3级材料,"2006,0;2007,0;2008,0;2019,0;2020,0;",0.1
,4509,1,4级材料,"2009,0;2010,0;2011,0;2021,0;2022,0;",0.1
,4510,1,5级材料,"2012,0;2013,0;2014,0;2063,0;2064,0;",0.1
,4511,1,boss绿宝组,"344,0;344,0;344,0;344,0;404,0;404,0;404,0;401,0;1079,0;",0
,4512,1,boss蓝宝组,"382,0;382,0;382,0;382,0;405,0;405,0;402,0;1158,0;",0
106,6000,1,活动宝箱绿钻,"344,0;404,0",1
107,6001,1,活动宝箱小光,"404,0",1
,6003,1,42及套装护腕,"813,0;819,0;825,0;831,0;837,0;",0.01
,6004,1,43及套装护手,"811,0;817,0;823,0;829,0;835,0;",0.01
,6005,1,46级腰带,"815,0;821,0;827,0;833,0;839,0;",0.01
,6006,1,48级衣服,"810,0;816,0;822,0;828,0;834,0;",0.01
,6007,1,1-5级杂碎,"3713,0;3725,0;",0.06
,6008,1,6-10级杂碎,"3714,0;3726,0;",0.06
