,,,物品品质,,,,,,,,,,,
编号,名字（注释）,类型,白色概率,绿色概率,蓝色概率,金色概率,暗金概率,天蓝概率,翡翠绿概率,白金概率,最低掉落等级,最高掉落等级,普通道具衰减,贵重道具衰减
ID,Name,Type,White,Green,Blue,Golden,GoldenPlus,BluePlus,GreenPlus,WhitePlus,Levl,Levh,Attenuation_Normal,Attenuation_Good
1,野外怪物,1,0.004,0.3,0.01,0.1,0.1,0,0,0,1,14,1,1
2,野外boss,2,0.01,0,0.2,0.1,0.1,0,0,0,15,29,1,1
3,野外boss,2,1,0.300,0.2,0,0.025,0.020,0.010,0.005,30,49,1,1
4,野外boss,2,1,0.25,0.2,0.05,0.025,0.020,0.010,0.005,50,99,1,1
5,野外boss,2,1,0.25,0.2,0.1,0.025,0.025,0.020,0.010,1,19,1,1
6,野外大boss,3,1,0.2,0.01,0.2,0.01,0.01,0.01,0,20,39,1,1
7,副本怪物,4,0.025,0.2,0.01,0.2,0.01,0.01,0.01,0,40,99,,1
8,副本怪物,4,0.025,0.2,0.01,0.2,0.01,0.01,0.01,0,1,19,,1
9,副本boss,5,2,1,0.6,0.4,0.025,0.020,0.010,0.005,20,39,,1
10,副本boss,5,2,1,0.6,0.4,0.025,0.020,0.010,0.005,40,99,,1
11,副本boss,5,2,1,0.6,0.4,0.025,0.020,0.010,0.005,35,55,,1
12,副本boss,5,2,1,0.6,0.4,0.025,0.020,0.010,0.005,56,99,,1
13,副本大boss,6,2,1,0.8,0.30,0.025,0.025,0.015,0.005,1,24,,1
14,副本大boss,6,2,1,0.8,0.30,0.025,0.025,0.015,0.005,25,39,,1
15,副本大boss,6,2,1,0.8,0.30,0.05,0.025,0.015,0.005,40,59,,1
16,副本大boss,6,2,1,0.8,0.30,0.05,0.025,0.015,0.005,40,99,,1
17,银英BOSS,7,4,1,0.5,0.40,0.06,0.15,0.02,0.005,25,51,,1
18,世界BOSS,8,8,1,0.50,0.50,0.30,0.15,0.10,0.05,40,49,,1
19,世界BOSS,8,8,1,0.9,0.50,0.30,0.15,0.10,0.05,40,59,,1
20,世界BOSS,8,8,1,0.9,0.50,0.30,0.15,0.10,0.05,40,99,,1
