ID,Name,Desc
1,Lôi,
2,Lôi,
3,Lôi,
4,Th¥n,
5,Th¥n,
6,"Duy trì tång huyªt khí","Duy trì tång huyªt khí 250 ði¬m, duy trì trong 10 giây.",
7,"Duy trì sát thß½ng","Duy trì sát thß½ng trong 10 giây.",
8,"Duy trì sát thß½ng","Duy trì sát thß½ng trong 10 giây.",
9,"Giäm t¯c","Giäm t¯c ðµ di chuy¬n xu¯ng 50%.",
10,"Tång sÑc mÕnh tÕm th¶i","Tång 10 ði¬m sÑc mÕnh, duy trì trong 3 phút.",
11,"Tång gi¾i hÕn pháp lñc tÕm th¶i","Tång gi¾i hÕn pháp lñc thêm 500 ði¬m, duy trì trong 6 phút.",
12,"Höa thiêu","Duy trì sát thß½ng trong 15 giây.",
13,"H°i khí huyªt nhanh(c¤p 1)","M²i giây tång 10 ði¬m khí huyªt, duy trì trong 15 giây.",
14,"H°i pháp lñc nhanh(c¤p 1)","M²i giây tång 16 ði¬m pháp lñc, duy trì trong 15 giây.",
15,"Tång gi¾i hÕn huyªt khí","Hi®u quä do Linh thú tÕo ra, có th¬ tång gi¾i hÕn th¬ lñc cüa chü nhân lên $EffParam1$ ði¬m.",
16,"Duy trì tång pháp lñc","Hi®u quä do Linh thú tÕo ra, khi · trong trÕng thái không chiªn ð¤u có th¬ tång t¯c ðµ h°i phøc pháp lñc cüa chü nhân m²i giây lên $EffParam1$ ði¬m.",
17,"Tång gi¾i hÕn pháp lñc","Hi®u quä do Linh thú tÕo ra, có th¬ tång gi¾i hÕn pháp lñc cüa chü nhân lên $EffParam1$ ði¬m.",
18,"Duy trì tång huyªt khí","Hi®u quä do Linh thú tÕo ra, khi · trong trÕng thái không chiªn ð¤u có th¬ tång t¯c ðµ h°i phøc huyªt khí cüa chü nhân m²i giây lên $EffParam1$ ði¬m.",
31,"Hôn Mê (Nµ Lôi Oanh)","Hôn mê 5 giây, b¸ t¤n công s¨ tïnh lÕi",
32,"Lôi H® Hß Nhßþc (TØ Vân Thß½ng)","Giäm sÑc phòng ngñ Lôi H®, m²i l¥n b¸ t¤n công b·i Ði®n H® s¨ ch¸u thêm $EffParam1$ ði¬m sát thß½ng.",
33,"Ph§t Pháp Hß Nhßþc (Kim Liên Phù)","Giäm sÑc phòng ngñ Ph§t Pháp, m²i l¥n b¸ t¤n công b·i Ph§t Pháp s¨ ch¸u thêm $EffParam1$ ði¬m sát thß½ng.",
34,"Ðµc Thß½ng (Kim Liên Phù)","Duy trì sát thß½ng trong 10 giây, m²i 2 giây tÕo ra $EffParam1$ ði¬m sát thß½ng.",
35,"Duy Trì Tång Khí Huyªt (Sinh Tân Quyªt)","Duy trì tång huyªt khí trong 10 giây , m²i 2 giây phøc h°i $EffParam1$ ði¬m sinh m®nh.",
36,"Tång Gi¾i HÕn Khí Huyªt (Nguyên Dß½ng Châm)","Tång gi¾i hÕn sinh m®nh lên $EffParam1$ ði¬m.",
37,"Choáng (TØ Vân Äm)","Choáng trong 3 giây.",
38,"Hoãn T¯c (TØ Yên Trß¾ng)","Giäm t¯c trong 10 giây.",
39,"Trúng Ðµc (TØ Yên Trß¾ng)","Duy trì sát thß½ng trong 10 giây, m²i 2 giây tÕo ra $EffParam1$ ði¬m sát thß½ng.",
40,"Duy Trì Sát Thß½ng (TØ Lôi Kình Công)","Duy trì sát thß½ng trong 10 giây, m²i 2 giây tÕo ra $EffParam1$ ði¬m sát thß½ng.",
41,"Trùng Sinh (TØ Tinh Kiªp T¦u)","Tång $EffParam1$% khä nång h°i sinh.",
42,"Bäo Hµ (TØ Tinh Bích V®)","Trong 60 giây h¤p thø sát thß½ng $EffParam1$ ði¬m.",
43,"Giäm T¯c (Kích Ði®n Tri«n)","Giäm $EffParam1$% t¯c ðµ.",
44,"Công Kích Tång Cß¶ng (Cß¶ng Hóa)","Tång sÑc t¤n công lên $EffParam1$ ði¬m",
100,"H°i khí huyªt nhanh (c¤p 2)","M²i giây tång 16 ði¬m khí huyªt, duy trì trong 15 giây.",
101,"H°i pháp lñc nhanh (c¤p 2)","M²i giây tång 24 ði¬m pháp lñc, duy trì trong 15 giây.",
102,"H°i khí huyªt nhanh (c¤p 3)","M²i giây tång 24 ði¬m khí huyªt, duy trì trong 15 giây.",
103,"H°i pháp lñc nhanh (c¤p 3)","M²i giây tång 36 ði¬m pháp lñc, duy trì trong 15 giây.",
104,"H°i khí huyªt nhanh (c¤p 4)","M²i giây tång 32 ði¬m khí huyªt, duy trì trong 15 giây.",
105,"H°i pháp lñc nhanh (c¤p 4)","M²i giây tång 48 ði¬m pháp lñc, duy trì trong 15 giây.",
106,"H°i khí huyªt nhanh (c¤p 5)","M²i giây tång 42 ði¬m khí huyªt, duy trì trong 15 giây.",
107,"H°i pháp lñc nhanh (c¤p 5)","M²i giây tång 60 ði¬m pháp lñc, duy trì trong 15 giây.",
108,"H°i khí huyªt nhanh (c¤p 6)","M²i giây tång 52 ði¬m khí huyªt, duy trì trong 15 giây.",
109,"H°i pháp lñc nhanh (c¤p 6)","M²i giây tång 78 ði¬m pháp lñc, duy trì trong 15 giây.",
110,"H°i khí huyªt nhanh (c¤p 7)","M²i giây tång 64 ði¬m khí huyªt, duy trì trong 15 giây.",
111,"H°i pháp lñc nhanh (c¤p 7)","M²i giây tång 96 ði¬m pháp lñc, duy trì trong 15 giây.",
112,"H°i khí huyªt nhanh (c¤p 8)","M²i giây tång 76 ði¬m khí huyªt, duy trì trong 15 giây.",
113,"H°i pháp lñc nhanh (c¤p 8)","M²i giây tång 114 ði¬m pháp lñc, duy trì trong 15 giây.",
114,"H°i khí huyªt nhanh (c¤p 9)","M²i giây tång 90 ði¬m khí huyªt, duy trì trong 15 giây.",
115,"H°i pháp lñc nhanh (c¤p 9)","M²i giây tång 136 ði¬m pháp lñc, duy trì trong 15 giây.",
116,"H°i khí huyªt nhanh (c¤p 10)","M²i giây tång 106 ði¬m khí huyªt, duy trì trong 15 giây.",
117,"H°i pháp lñc nhanh (c¤p 10)","M²i giây tång 160 ði¬m pháp lñc, duy trì trong 15 giây.",
118,"H°i khí huyªt nhanh (c¤p 11)","M²i giây tång 122 ði¬m khí huyªt, duy trì trong 15 giây.",
119,"H°i pháp lñc nhanh (c¤p 11)","M²i giây tång 184 ði¬m pháp lñc, duy trì trong 15 giây.",
120,"Tång gi¾i hÕn huyªt khí chü nhân","Hi®u quä do Linh thú tÕo ra, có th¬ tång th¬ lñc cho chü nhân: 20 + c¤p ðµ Linh thú x (10 + lßþng khí huyªt c½ bän cüa chü nhân  x 1%)",
121,"Tång pháp lñc chü nhân","Hi®u quä do Linh thú tÕo ra, khi · trong trÕng thái không chiªn ð¤u có th¬ tång t¯c ðµ phøc h°i pháp lñc cüa chü nhân m²i 2 giây lên: c¤p ðµ Linh thú x (1.5 + lßþng pháp lñc c½ bän cüa chü nhân x 1%).",
122,"Tång gi¾i hÕn pháp lñc chü nhân","Hi®u quä do Linh thú tÕo ra, có th¬ tång pháp lñc cho chü nhân: 30 + c¤p ðµ Linh thú  x (15 + lßþng pháp lñc c½ bän cüa chü nhâm x 1%).",
123,"Tång huyªt khí chü nhân","Hi®u quä do Linh thú tÕo ra, khi · trong trÕng thái không chiªn ð¤u có th¬ tång t¯c ðµ h°i phøc khí huyªt cüa chü nhân m²i 2 giây lên: c¤p ðµ Linh thú x (1 + lßþng huyªt khí c½ bän cüa chü nhân x 1%).",
124,"Cß¶ng lñc h°i huyªt khí (c¤p 1)","Dßþc ph¦m b± trþ siêu mÕnh, trong 15 giây h°i phøc 150 ði¬m th¬ lñc, có th¬ sØ døng trong lúc chiªn ð¤u, th¶i gian ch¶ phøc h°i là 15 giây.",
125,"Cß¶ng lñc h°i pháp lñc (c¤p 1)","Dßþc ph¦m b± trþ siêu mÕnh, trong 15 giây h°i phøc 225 ði¬m th¬ lñc, có th¬ sØ døng trong lúc chiªn ð¤u, th¶i gian ch¶ phøc h°i là 15 giây.",
126,"Cß¶ng lñc h°i huyªt khí (c¤p 2)","Dßþc ph¦m b± trþ siêu mÕnh, trong 15 giây h°i phøc 450 ði¬m th¬ lñc, có th¬ sØ døng trong lúc chiªn ð¤u, th¶i gian ch¶ phøc h°i là 15 giây.",
127,"Cß¶ng lñc h°i pháp lñc (c¤p 2)","Dßþc ph¦m b± trþ siêu mÕnh, trong 15 giây h°i phøc 675 ði¬m th¬ lñc, có th¬ sØ døng trong lúc chiªn ð¤u, th¶i gian ch¶ phøc h°i là 15 giây.",
128,"Kim Sáng Dßþc (Ti¬u)","Kim Sáng Dßþc s½ c¤p, có th¬ h°i phøc 120 ði¬m sinh m®nh trong 10 giây, sØ døng ðßþc trong lúc chiªn ð¤u.",
129,"Kim Sáng Dßþc (Trung)","Kim Sáng Dßþc trung c¤p, có th¬ h°i phøc 500 ði¬m sinh m®nh trong 10 giây, sØ døng ðßþc trong lúc chiªn ð¤u.",
130,"Kim Sáng Dßþc (ÐÕi)","Kim Sáng Dßþc cao c¤p, có th¬ h°i phøc 1000 ði¬m sinh m®nh trong 10 giây, sØ døng ðßþc trong lúc chiªn ð¤u.",
131,"ÐÕi Hoàn Ð½n (Ti¬u)","ÐÕi Hoàn Ð½n s½ c¤p, có th¬ h°i phøc 120 ði¬m nµi lñc trong 10 giây, sØ døng ðßþc trong lúc chiªn ð¤u.",
132,"ÐÕi Hoàn Ð½n (Trung)","ÐÕi Hoàn Ð½n trung c¤p, có th¬ h°i phøc 500 ði¬m nµi lñc trong 10 giây, sØ døng ðßþc trong lúc chiªn ð¤u.",
133,"ÐÕi Hoàn Ð½n (ÐÕi)","ÐÕi Hoàn Ð½n cao c¤p, có th¬ h°i phøc 1000 ði¬m nµi lñc trong 10 giây, sØ døng ðßþc trong lúc chiªn ð¤u.",
134,"Cß¶ng lñc h°i huyªt khí (c¤p 3)","Dßþc ph¦m b± trþ siêu mÕnh, trong 15 giây h°i phøc 1350 ði¬m th¬ lñc, có th¬ sØ døng trong lúc chiªn ð¤u, th¶i gian ch¶ phøc h°i là 15 giây.",
135,"Cß¶ng lñc h°i pháp lñc (c¤p 3)","Dßþc ph¦m b± trþ siêu mÕnh, trong 15 giây h°i phøc 2025 ði¬m th¬ lñc, có th¬ sØ døng trong lúc chiªn ð¤u, th¶i gian ch¶ phøc h°i là 15 giây.",
136,"H°i khí huyªt nhanh (c¤p 12)","M²i giây tång 139 ði¬m khí huyªt, duy trì trong 15 giây.",
137,"H°i pháp lñc nhanh (c¤p 12)","M²i giây tång 208 ði¬m pháp lñc, duy trì trong 15 giây.",
138,"H°i khí huyªt nhanh (c¤p 13)","M²i giây tång 158 ði¬m khí huyªt, duy trì trong 15 giây.",
139,"H°i pháp lñc nhanh (c¤p 13)","M²i giây tång 236 ði¬m pháp lñc, duy trì trong 15 giây.",
140,"H°i khí huyªt nhanh (c¤p 14)","M²i giây tång 177 ði¬m khí huyªt, duy trì trong 15 giây.",
141,"H°i pháp lñc nhanh (c¤p 14)","M²i giây tång 266 ði¬m pháp lñc, duy trì trong 15 giây.",
142,"H°i khí huyªt nhanh (c¤p 15)","M²i giây tång 198 ði¬m khí huyªt, duy trì trong 15 giây.",
143,"H°i pháp lñc nhanh (c¤p 15)","M²i giây tång 297 ði¬m pháp lñc, duy trì trong 15 giây.",
144,"H°i khí huyªt nhanh (c¤p 16)","M²i giây tång 220 ði¬m khí huyªt, duy trì trong 15 giây.",
145,"H°i pháp lñc nhanh (c¤p 16)","M²i giây tång 330 ði¬m pháp lñc, duy trì trong 15 giây.",
146,"H°i khí huyªt nhanh (c¤p 17)","M²i giây tång 243 ði¬m khí huyªt, duy trì trong 15 giây.",
147,"H°i pháp lñc nhanh (c¤p 17)","M²i giây tång 365 ði¬m pháp lñc, duy trì trong 15 giây.",
148,"H°i khí huyªt nhanh (c¤p 18)","M²i giây tång 267 ði¬m khí huyªt, duy trì trong 15 giây.",
149,"H°i pháp lñc nhanh (c¤p 18)","M²i giây tång 401 ði¬m pháp lñc, duy trì trong 15 giây.",
150,"H°i khí huyªt nhanh (c¤p 19)","M²i giây tång 293 ði¬m khí huyªt, duy trì trong 15 giây.",
151,"H°i pháp lñc nhanh (c¤p 19)","M²i giây tång 439 ði¬m pháp lñc, duy trì trong 15 giây.",
152,"H°i khí huyªt nhanh (c¤p 20)","M²i giây tång 319 ði¬m khí huyªt, duy trì trong 15 giây.",
153,"H°i pháp lñc nhanh (c¤p 20)","M²i giây tång 478 ði¬m pháp lñc, duy trì trong 15 giây.",
201,"Tr¥m M£c (Huy«n Höa Phá)","Không th¬ sØ døng ðòn t¤n công t× xa.",
202,"LØa Thiêu (Höa Long Vû)","M²i 3 giây tÕo ra $EffParam1/5$ ði¬m sát thß½ng, duy trì trong 15 giây.",
211,"Bång Ðông (Huy«n Bång Träm)","Ðóng bång, không th¬ di chuy¬n.",
212,"Thüy H® Hß Nhßþc (Phi Lßu Träm)","Giäm sÑc phòng ngñ Thüy H®, m²i l¥n b¸ t¤n công b·i Thüy H® s¨ ch¸u thêm $EffParam1$ ði¬m sát thß½ng.",
213,"Hoãn T¯c (Häi Tri«u Quyªt)","Giäm t¯c ðµ di chuy¬n xu¯ng $EffParam1$%, duy trì trong 3 giây.",
221,"Hoãn T¯c (Hàn Bång Thích)","Giäm t¯c ðµ di chuy¬n xu¯ng 80%, duy trì trong 5 giây.",
222,"Trí Lñc Tång Cß¶ng (Khích Tu® Thu§t)","Tång $EffParam1$ ði¬m trí tu®.",
223,"Hôn Mê (Vñng Huy®t Thu§t)","Hôn mê, duy trì trong $EffParam1$ giây, b¸ t¤n công s¨ m¤t.",
224,"Công Kích Tång Cß¶ng (Thiên Cang Thu§t)","Tång sÑc t¤n công lên $EffParam1$ ði¬m.",
225,"Hôn Mê (Ð¸a Cang Thu§t)","Hôn mê, duy trì trong 5 giây.",
226,"Bång Thuçn (Hàn Bång Thuçn)","Tång sÑc phòng thü lên $EffParam1$ ði¬m.",
227,"Hoãn T¯c (Hàn Bång Thuçn)","Giäm t¯c ðµ xu¯ng 50%.",
401,"Choáng (Tu La - Phá)","Choáng váng trong $EffParam1$ giây.",
402,"Choáng (Tu La - Ð¸nh)","Choáng váng trong 3 giây.",
411,"LØa Thiêu (T¸ch Di®t - Phçn Tâm)","M²i 3 giây phäi ch¸u $EffParam1$ ði¬m sát thß½ng h® Höa, duy trì trong 15 giây.",
412,"Hß Nhßþc (T¸ch Di®t - Phá Giáp)","SÑc phòng ngñ giäm $EffParam1$ ði¬m.",
413,"Giäm Sát Thß½ng (T¸ch Di®t - ÐÕi Bi)","Giäm sát thß½ng xu¯ng $EffParam1$ ði¬m.",
414,"Choáng (T¸ch Di®t - ÐÕi Bi)","Choáng váng trong 5 giây.",
421,"Hôn Mê (ÐÕi Lñc Kim Cang)","Hôn mê trong 5 giây.",
422,"Phòng Ngñ Tång Cß¶ng (Kim Cang B¤t HoÕi)","Giäm sÑc sát thß½ng phäi ch¸u.",
423,"Công Kích Tång Cß¶ng (Tâm Höa)","Tång sÑc t¤n công lên $EffParam1$ ði¬m.",
424,"Phòng Ngñ Tång Cß¶ng (Phòng Tñ Quyªt)","Tång khí huyªt lên $EffParam1$ ði¬m.",
425,"PhÕm Vi Giäm T¯c (Tâm Ðång)","Giäm t¯c ðµ v§t th¬ xung quanh.",
426,"Giäm T¯c (Tâm Ðång)","Giäm 50% t¯c ðµ.",
427,"Tång Thù H§n (T× Bi)","M²i l¥n t¤n công tång thêm $EffParam1$ ði¬m thù h§n ð¯i v¾i quái v§t.",
428,"CßÞng Chª Công Kích (Xä Thân)","B¡t quái v§t t¤n công bän thân trong $10+EffParam2$ giây.",
431,"Choáng (Tu La - Phá)","Choáng váng trong $EffParam1$ giây.",
502,"Hôn Mê (Lñc Phách Hoa S½n)","Hôn mê.",
504,"Hoãn T¯c (Lôi Ðình Cän Phá )","Giäm $EffParam2$% t¯c ðµ.",
512,"Th¤t H°n (Th¤t H°n)","Hôn mê, b¸ t¤n công m¾i tïnh lÕi.",
513,"Hôn Mê (T¤n Lôi)","Hôn mê.",
515,"Giäm T¯c (Ðµc Thích)","Giäm $EffParam2$% t¯c ðµ.",
521,"Gia T¯c (T§t Hành Thu§t)","Tång t¯c ðµ di chuy¬n lên $EffParam2$%.",
522,"Tång Né Tránh (Äo Hß Bµ)","Xác su¤t né tránh tång 50%.",
523,"Hôn Mê (Tr¤n H°n Quyªt)","Hôn mê, b¸ t¤n công m¾i tïnh lÕi.",
524,"Tång Cß¶ng Phòng Ngñ (Hµ Thân Quyªt)","Tång sÑc phòng ngñ lên $EffParam2$ ði¬m.",
525,"Giäm Thù H§n (Mê Äo Tr§n)","M²i l¥n t¤n công mÑc ðµ thù h§n tÕo ra giäm $EffParam1$ ði¬m.",
526,"Tång Cß¶ng Pháp Thu§t Phòng Ngñ (Ngû Hành Tr§n)","Tång sÑc phòng ngñ pháp thu§t lên $EffParam2$ ði¬m.",
527,"Hôn Mê (Long Ngâm)","Hôn mê.",
601,"Phá Giáp (Li®t Giáp Phá)","SÑc phòng ngñ giäm $EffParam1$ ði¬m.",
602,"Hoãn T¯c(Kinh Cúc Phá)","Giäm $EffParam1$% t¯c ðµ.",
603,"Giäm Công Kích (Vô Änh Phá)","Giäm sÑc t¤n công xu¯ng $EffParam1$ ði¬m.",
604,"Ðµc Thß½ng (Xà HÕt Ðµc Tâm)","Duy trì sát thß½ng trong 6 giây, m²i 2 giây tÕo ra $EffParam1$ ði¬m sát thß½ng.",
605,"Choáng (Hùng Kích H± Bµc)","Choáng váng trong 3 giây.",
606,"Tång Thù H§n (Dã Tính Kích Phát)","Tång thù h§n do Linh thú tÕo ra lên $EffParam1$ ði¬m.",
607,"C¤p Hi®u Chi Ðµc","T¦m ch¤t cñc ðµc, có mµt xác su¤t nh¤t ð¸nh tång sát thß½ng.",
