ID,Name,Desc
1,"Thiên Nhai Ðao","Thiên Nhai Ðao"
2,"Phß½ng Thiên H÷a Kích","Phß½ng Thiên H÷a Kích"
3,"H°ng Dßþc Thüy","H°ng Dßþc Thüy"
4,"Huy«n Quy Phi Kiªm",
5,"Xích Tô Phi Kiªm",
6,"Thanh Linh Phi Kiªm",
7,"Li®t Höa Phi Kiªm",
8,"TØ Ði®n Phi Kiªm",
9,"Thüy Mçu Phi Kiªm",
10,"Dß½ng H°n Phi Kiªm",
11,"Kim Ðà Phi Kiªm",
12,"Thiên Khiªu Phi Kiªm",
13,"Minh Höa Phi Kiªm",
14,"ÐÕm Thüy Phi Ðao",
15,"Bôn Lßu Phi Ðao",
16,"Thanh Tuy«n Phi Ðao",
17,"Lãnh Nguy®t Phi Ðao",
18,"Phá Thüy Phi Ðao",
19,"Bàn Long Phi Ðao",
20,"Thiên Cß½ng Phi Ðao",
21,"Long Tuy«n Phi Ðao",
22,"Häi Tri«u Phi Ðao",
23,"Ð° Long Phi Ðao",
24,"Thanh Mµc Thi«n Trßþng",
25,"Bách Luy®n Thi«n Trßþng",
26,"Nh§p Thª Thi«n Trßþng",
27,"Tân Nguy®t Thi«n Trßþng",
28,"Sß H¯ng Thi«n Trßþng",
29,"BÕo H± Thi«n Trßþng",
30,"Tùy Duyên Thi«n Trßþng",
31,"Khai Quang Thi«n Trßþng",
32,"Huy«n C½ Thi«n Trßþng",
33,"Tu La Thi«n Trßþng",
34,"Toái Ng÷c Th¥n Côn",
35,"Li®t Thiên Th¥n Côn",
36,"Hàng Long Th¥n Côn",
37,"Phøc H± Th¥n Côn",
38,"Kim Cang Th¥n Côn",
39,"Phøc Ma Th¥n Côn",
40,"PhÕm Thiên Th¥n Côn",
41,"Vî Ðà Th¥n Côn",
42,"B° Ð« Th¥n Côn",
43,"T¸ch Di®t Th¥n Côn",
44,"Nhß Ý Kim Luân  ",
45,"CØu Cung Tiên Luân",
46,"Ngô Thiên Minh Luân",
47,"Thiên Ðµn Bäo Luân",
48,"Ca Di®p Kim Quang Luân",
49,"Tam Tài Thanh Ninh Luân",
50,"Phøc Ma Lôi Âm Luân",
51,"Pháp Hoa Kim Cß½ng Luân",
52,"Na Ca Bäo Tß¾ng Luân",
