ID,Name,Desc,Remark
10001,"Th¤t S¡c Thiên Lam Bäo ThÕch","Sau khi dùng có 20% c½ hµi chuy¬n ð±i Huyªt Kim Pháp Bäo thành Thiên Lam Pháp Bäo. Mµt ph¥n thuµc tính cüa pháp bäo g¯c ðßþc bäo lßu"," bao g°m ðÆng c¤p pháp bäo"
10002,"Th¤t S¡c Phï Thúy Løc Bäo ThÕch","Sau khi dùng có 10% c½ hµi chuy¬n ð±i Thiên Lam Pháp Bäo thành Phï Thúy Løc Pháp Bäo. Mµt ph¥n thuµc tính cüa pháp bäo g¯c ðßþc bäo lßu, bao g°m ðÆng c¤p pháp bäo, linh lñc, trÕng thái khóa ð¸nh và gi¾i hÕn th¶i gian. Nhæng thuµc tính còn lÕi ngçu nhiên theo h® th¯ng và ðÆng c¤p khäm nÕm s¨ ngçu nhiên giäm 2 c¤p tr· lên sau khi chuy¬n ð±i. V¾i mÑc giäm t¯i ða, pháp bäo s¨ tr· thành pháp bäo bình thß¶ng, +0.",
10003,"Th¤t S¡c BÕch Kim Bäo ThÕch","Sau khi dùng có 5% c½ hµi chuy¬n ð±i Phï Thúy Løc Bäo thành BÕch Kim Pháp Bäo. Mµt ph¥n thuµc tính cüa pháp bäo g¯c ðßþc bäo lßu, bao g°m ðÆng c¤p pháp bäo, linh lñc, trÕng thái khóa ð¸nh và gi¾i hÕn th¶i gian. Nhæng thuµc tính còn lÕi ngçu nhiên theo h® th¯ng và ðÆng c¤p khäm nÕm s¨ ngçu nhiên giäm 2 c¤p tr· lên sau khi chuy¬n ð±i. V¾i mÑc giäm t¯i ða, pháp bäo s¨ tr· thành pháp bäo bình thß¶ng, +0.",
10004,"GM's Amulet",,
10005,"GM's Ring",,
10006,"GM's Pháp Bäo",,
8000,"Bµ Trang B¸ Tím S Nga My +20",,
8001,"Bµ Trang B¸ Tím S Ph§t Môn +20",,
8002,"Bµ Trang B¸ Tím S Bách Hoa +20",,
8003,"Bµ Trang B¸ Tím S Thanh Thành +20",,
8004,"Bµ Trang B¸ Tím S Tiên C¥m +20",,
8005,"Bµ Trang B¸ Tím Nga My +20",,
8006,"Bµ Trang B¸ Tím Ph§t Môn +20",,
8007,"Bµ Trang B¸ Tím Bách Hoa +20",,
8008,"Bµ Trang B¸ Tím Thanh Thành +20",,
8009,"Bµ Trang B¸ Tím Tiên C¥m +20",,
,,,
8010,"Vçn Tinh Gi¾i Chï",,
8011,"Thiên SÑ Gi¾i Chï",,
8012,"Höa Phong Gi¾i Chï",,
8013,"Vçn Tinh Hµ Phù",,
8014,"Thiên  SÑ Hµ Phù",,
8015,"Höa Phong Hµ Phù",,
8016,"Kim Long","Sau khi sØ døng s¨ g÷i ðßþc thú cßÞi Kim Long.",
8017,"Thanh Long","Sau khi sØ døng s¨ g÷i ðßþc thú cßÞi Thanh Long",
8018,"Kim Tinh (Ti¬u)","V§t ph¦m may m¡n, ðßþc sØ døng làm nguyên li®u h² trþ khi khäm nÕm trang b¸ +13 ~ +16, m²i viên có th¬ tång 20% xác su¤t thành công, dù luy®n thành công hay không v§t ph¦m may m¡n ð«u biªn m¤t.",
8019,"Kim Tinh (Trung)","V§t ph¦m may m¡n, ðßþc sØ døng làm nguyên li®u h² trþ khi khäm nÕm trang b¸ +16 ~ +18, m²i viên có th¬ tång 15% xác su¤t thành công, dù luy®n thành công hay không v§t ph¦m may m¡n ð«u biªn m¤t.",
8020,"Kim Tinh (ÐÕi)","V§t ph¦m may m¡n, ðßþc sØ døng làm nguyên li®u h² trþ khi khäm nÕm trang b¸ +18 ~ +20, m²i viên có th¬ tång 13% xác su¤t thành công, dù luy®n thành công hay không v§t ph¦m may m¡n ð«u biªn m¤t.",
8021,"V§t ph¦m h² trþ tân thü",,
8022,"V§t ph¦m h² trþ tân thü",,
8023,"V§t ph¦m h² trþ tân thü",,
8024,"V§t ph¦m h² trþ tân thü",,
8025,"V§t ph¦m h² trþ tân thü",,
,,,
8026,"Nga My Nam Hero 1","Tång 500 HP và 10% t¯c ðµ di chuy¬n trong 1 gi¶.",
8027,"Ph§t Môn Hero 1","Tång 500 HP và 10% t¯c ðµ di chuy¬n trong 1 gi¶.",
8028,"Bách Hoa Hero 1","Tång 500 HP và 10% t¯c ðµ di chuy¬n trong 1 gi¶.",
8029,"Thanh Thành Hero 1","Tång 500 HP và 10% t¯c ðµ di chuy¬n trong 1 gi¶.",
8030,"Tiên C¥m Hero 1","Tång 500 HP và 10% t¯c ðµ di chuy¬n trong 1 gi¶.",
8031,"Nga My Næ Hero 1","Tång 500 HP và 10% t¯c ðµ di chuy¬n trong 1 gi¶.",
8032,"Nga My Nam Hero 2","Tång 750 HP và 15% t¯c ðµ di chuy¬n trong 1 gi¶.",
8033,"Ph§t Môn Hero 2","Tång 750 HP và 15% t¯c ðµ di chuy¬n trong 1 gi¶.",
8034,"Bách Hoa Hero 2","Tång 750 HP và 15% t¯c ðµ di chuy¬n trong 1 gi¶.",
8035,"Thanh Thành Hero 2","Tång 750 HP và 15% t¯c ðµ di chuy¬n trong 1 gi¶.",
8036,"Tiên C¥m Hero 2","Tång 750 HP và 15% t¯c ðµ di chuy¬n trong 1 gi¶.",
8037,"Nga My Næ Hero 2","Tång 750 HP và 15% t¯c ðµ di chuy¬n trong 1 gi¶.",
8038,"Nga My Nam Hero 3","Tång 1000 HP và 20% t¯c ðµ di chuy¬n trong 1 gi¶.",
8039,"Ph§t Môn Hero 3","Tång 1000 HP và 20% t¯c ðµ di chuy¬n trong 1 gi¶.",
8040,"Bách Hoa Hero 3","Tång 1000 HP và 20% t¯c ðµ di chuy¬n trong 1 gi¶.",
8041,"Thanh Thành Hero 3","Tång 1000 HP và 20% t¯c ðµ di chuy¬n trong 1 gi¶.",
8042,"Tiên C¥m Hero 3","Tång 1000 HP và 20% t¯c ðµ di chuy¬n trong 1 gi¶.",
8043,"Nga My Næ Hero 3","Tång 1000 HP và 20% t¯c ðµ di chuy¬n trong 1 gi¶.",
8044,"Mèo M§p","LoÕi: Thu¥n Thú. SØ døng: Tri®u h°i thu¥n thú Mèo M§p, có th¬ tång th¬ lñc cüa chü nhân: 20 + c¤p ðµ Thu¥n Thú x (10 + lßþng huyªt khí c½ bän cüa chü nhân x 1.5%), khi · trÕng thái không chiªn ð¤u có th¬ tång t¯c ðµ h°i huyªt cüa chü nhân, sau 11 c¤p s¨ có ði¬m thuµc tính, sau khi tri®u h°i s¨ tång nång lñc cüa chü nhân.",
8045,"Bò Húc","SØ døng: Tri®u h°i Thu¥n Thú Bò Húc, có th¬ tång th¬ lñc cüa chü nhân: 20 + c¤p ðµ Thu¥n Thú x (10 + lßþng huyªt khí c½ bän cüa chü nhân x 1.3%) và t¯c ðµ di chuy¬n lên 20%, t× c¤p 11 tr· ði có th¬ phân ph¯i ði¬m thuµc tính, sau khi tri®u h°i s¨ tång nång lñc cho chü nhân.",
8046,"Tiên Gi¾i Gia Huyªt Dßþc Thüy (Trung)","Phøc h°i c¤p t¯c 200K ði¬m th¬ lñc",
8047,"Tiên Gi¾i Gia Huyªt Dßþc Thüy (ÐÕi)","Phøc h°i c¤p t¯c 300K ði¬m th¬ lñc",
8048,"Tiên Gi¾i Gia Huyªt Dßþc Thüy (Ti¬u)","Phøc h°i c¤p t¯c 50K ði¬m th¬ lñc",
8049,"25K Vàng","M· ra nh§n ðßþc 25K vàng, mµt ngß¶i chï có th¬ mang t¯i ða 200K vàng, nªu trong ngß¶i bÕn ðang mang s¯ vàng + s¯ vàng ð¸nh m· ra vßþt quá 200K vàng, h® th¯ng s¨ tñ ðµng l¤y s¯ vàng còn th×a và chï ð¬ lÕi 200K vàng trong túi hàng trang. Hãy chú ý trß¾c khi m· hµp vàng. ",
8050,"1000 Vàng C¯ Ð¸nh","M· ra nh§n ðßþc 1000 vàng c¯ ð¸nh",
8051,"50K Ði¬m Tài Nguyên","M· ra bang hµi nh§n ðßþc 50000 ði¬m tài nguyên ",
8052,"100k Ði¬m Tài Nguyên","M· ra bang hµi nh§n ðßþc 100000 ði¬m tài nguyên",
8053,"Th¤t S¡c Thiên Lam Bäo ThÕch","Sau khi dùng có 30% c½ hµi chuy¬n ð±i Huyªt Kim Pháp Bäo thành Thiên Lam Pháp Bäo. Mµt ph¥n thuµc tính cüa pháp bäo g¯c ðßþc bäo lßu"," bao g°m ðÆng c¤p pháp bäo"
