"Mã s¯",Tên,"Hi®u quä 1","Hi®u quä 2","Hi®u quä 3","Hi®u quä 4","Hi®u quä 5","Hi®u quä 6","Hi®u quä 7","Hi®u quä 8","Hi®u quä 9","Hi®u quä 10"
ID,Name,Action1_hint,Action2_hint,Action3_hint,Action4_hint,Action5_hint,Action6_hint,Action7_hint,Action8_hint,Action9_hint,Action10_hint
1,"Bµ Höa Long",,"Tång 50  ði¬m Th¬ Lñc ",,"Tång sát thß½ng Höa h® 18 ði¬m",,"Tång 20% phÕm vi cüa Xích Di­m Träm",,,,
2,"Bµ Lôi Âm",,"Tång 70 ði¬m Th¬ Lñc ",,"Tång 10% xác su¤t ch¯ng ðÞ ",,"Giäm 60 giây th¶i gian ch¶ cüa Kim Cang B¤t HoÕi",,,,
3,"Bµ Bách Hþp",,"Tång 75 ði¬m  Trí Tu® ",,"Tång 46 ði¬m hi®u lñc tr¸ li®u",,"Giäm 30 giây th¶i gian ch¶ cüa TØ Tinh Bích",,,,
4,"Bµ Di®t Ma",,"Tång 75 ði¬m  Nhanh nh©n ",,"Tång 10% xác su¤t né tránh",,"Giäm 60 giây th¶i gian ch¶ cüa T§t Hành Thu§t",,,,
5,"Bµ Thanh Du§t",,"Tång 65 ði¬m  Trí Tu® ",,"Tång 2% xác su¤t bÕo kích cüa Thüy H®",,"Giäm 0.5 giây th¶i gian ch¶ cüa Liên Kích Phá ",,,,
6,"Bµ Th¤t Tinh",,"Tång Trí Tu® 90 ði¬m ",,"Tång 5% xác su¤t bÕo kích cüa Höa H®",,"Giäm 2 giây th¶i gian ch¶ cüa Xích Di­m Träm ",,,,
7,"Bµ Li®t Höa",,"Tång SÑc MÕnh 90 ði¬m ",,"Tång 10% hµ giáp",,"Giäm 10 ði¬m tinh lñc tiêu hao cüa T¸ch Di®t - Phøc Ma",,,,
8,"Bµ Lôi Li­u",,"Tång Trí Tu® 90 ði¬m ",,"Tång 300 ði¬m hi®u lñc tr¸ li®u",,"Tång 30 khoäng cách tr¸ li®u KÏ Hoàng Quyªt.",,,,
9,"Bµ Tham Lang",,"Tång Nhanh nh©n 90 ði¬m ",,"Tång 10% xác thß½ng cüa Ði®n H®",,"Giäm 5 ði¬m tinh lñc tiêu hao cüa Hoành Täo Thiên Quân.",,,,
10,"Bµ Chu Lµ",,"Tång Trí Tu® 90 ði¬m ",,"Tång 20% t¯c ðµ di chuy¬n",,"Giäm 0,5 giây th¶i gian v§n cüa Li®t Giáp Phá.",,,,
11,"Bµ Hàn Mang",,"Tång Th¬ Lñc 65 ði¬m ",,"Tång 10% xác su¤t bÕo kích cüa Thüy H®",,"Tång 20% phÕm vi Häi Tri«u Quyªt.",,,,
12,"Bµ Ph§t Âm",,"Tång Th¬ Lñc 90 ði¬m ",,"Tång 10% xác thß½ng Ph§t H®",,"Tång 30% xác su¤t bÕo kích Tu La -†n",,,,
13,"Bµ Li­u Nhß",,"Tång Th¬ Lñc 80 ði¬m ",,"Tång 10% xác thß½ng cüa Ði®n H®",,"Giäm 0,5 giây th¶i gian v§n cüa Huy«n Quang Träm.",,,,
14,"Bµ Trøc Nh§t",,"Tång Th¬ Lñc 80 ði¬m ",,"Tång 10% xác su¤t bÕo kích cüa Ðµc H®",,"Giäm 1,5 giây th¶i gian ch¶ cüa Ngû Hành Tr§n",,,,
15,"Bµ Xung Tiêu",,"Tång Th¬ Lñc 75 ði¬m ",,"Tång 10% xác su¤t bÕo kích cüa Ðµc H®",,"Giäm 0,5 giây th¶i gian v§n cüa H§u Ngh® XÕ Nh§t.",,,,
16,"Bµ Träm Long","Tång 1000 Th¬ Lñc ði¬m","Tång 2000 ði¬m Trí tu®","Tång 25% xác xu¤t bÕo kích cüa Höa H®","Tång 25% xác xu¤t bÕo kích cüa Thüy H®","Giäm 3 giây th¶i gian ch¶ cüa Xích Di­m Träm","Tång 30% phÕm vi cüa Häi Tri«u Quyªt",,,,
17,"Bµ Huyªt Minh","Tång 1000 Th¬ Lñc ði¬m","Tång 2000 ði¬m SÑc mÕnh","Tång 30% xác xu¤t ch¯ng ðÞ","Giäm 20 ði¬m tinh lñc tiêu hao cüa T¸ch Di®t - Phøc Ma","Tång 40% bÕo kích cüa Tu La - †n","Tång 30% sát thß½ng Ph§t H®",,,,
18,"Bµ Thiên C½ SÑ","Tång 1000 Th¬ Lñc ði¬m.","Tång 2000 ði¬m Trí tu®","Tång1000 ði¬m hi®u lñc tr¸ li®u","Tång 25% sát thß½ng Lôi H®","Tång 100 khoäng cách tr¸ li®u cüa KÏ Hoàng Quyªt","Giäm 1.5 giây th¶i gian v§n cüa Huy«n Träm Quang",,,,
19,"Bµ Nhiªp H°n","Tång 1000 Th¬ Lñc ði¬m","Tång 2000 ði¬m Nhanh nh©n","Tång 15% xác xu¤t né tránh","Tång 25% sát thß½ng Lôi H®.","Giäm 15 ði¬m tinh lñc tiêu hao cüa Hoành Täo Thiên Quân","Tång 20% xác su¤t bÕo kích Ðµc H®",,,,
20,"Bµ Tích Lûy Kim Phong","Tång 1000 Th¬ Lñc ði¬m","Tång 2000 ði¬m Trí tu®","Tång 40% t¯c ðµ di chuy¬n","Giäm 1 giây th¶i gian ch¶ cüa Liên Kích Phá","Giäm 1 giây th¶i gian v§y cüa Li®t Phá Giáp","Tång 20% xác su¤t bÕo kích Ðµc H®",,,,
,,,,,,,,,,,
21,"Bµ Träm Long S","Tång 600 ði¬m Th¬ Lñc","Tång 1500 ði¬m Trí tu®","Tång 15% xác xu¤t bÕo kích cüa Höa H®","Tång 15% xác xu¤t bÕo kích cüa Thüy H®","Giäm 2 giây th¶i gian ch¶ cüa Xích Di­m Träm","Tång 25% phÕm vi cüa Häi Tri«u Quyªt",,,,
22,"Bµ Huyªt Minh S","Tång 600 ði¬m Th¬ Lñc","Tång 1500 ði¬m SÑc mÕnh","Tång 25% xác xu¤t ch¯ng ðÞ","Giäm 20 ði¬m tinh lñc tiêu hao cüa T¸ch Di®t - Phøc Ma","Tång 35% bÕo kích cüa Tu La - †n","Tång 20% sát thß½ng Ph§t H®",,,,
