"STRID","LAN","Remark"
"msg_script_101_onarrive","Ta vô tµi, ğ×ng giªt ta!",""
"msg_script_101_onbecaptured","Ngß½i mu¯n làm gì? thä ta ra!",""
"msg_script_118_onarrive","Ta vô tµi, ğ×ng giªt ta ",""
"msg_script_118_onbecaptured","Buông ta ra, ta không mu¯n ği v¾i ngß½i ",""
"msg_script_143_onarrive","Cu¯i cùng ğã ğßşc an toàn!",""
"msg_script_143_onarrive_14","Cái b÷n ğeo bám này, ğúng là · ğâu cûng g£p!",""
"msg_script_143_onarrive_19","C¦n th§n, b÷n kı sinh trùng ğáng ghét ğó lÕi ğªn r°i!",""
"msg_script_143_onarrive_23","Kiên trì mµt chút! S¡p ğßşc an toàn r°i, chúng ta s¡p ğªn Thành Ğô r°i!",""
"msg_script_143_onarrive_26","CÑ nghî r¢ng vào thành thì s¨ ğßşc an toàn.. Không ng¶.. B÷n chúng cûng phøc kích cä trong thành!",""
"msg_script_143_onarrive_5","Dß¶ng nhß xung quanh có ği«u b¤t ±n.. Phäi c¦n th§n!",""
"msg_script_143_ondead","A!!!!!!!!Ngß½i giªt ta r°i!!!!!! ",""
"msg_script_143_onhplower_0","Xem ra ği v¾i ngß½i chï có con ğß¶ng chªt mà thôi.. Ta ğã nh§n ra ğßşc ği«u ğó! ",""
"msg_script_143_onhplower_20","Xem ra hôm nay ta phäi chªt tÕi ğây..",""
"msg_script_143_onhplower_40","ĞÕi ca .. Huynh ğang làm gì thª, huyªt khí cüa ğ® g¥n cÕn r°i..",""
"msg_script_143_onhplower_60","Ta b¸ thß½ng r°i, mau giúp ta giäi nguy",""
"msg_script_143_onhplower_80","Ta ğau ğ¥u quá, không còn chút sÑc lñc nào næa..",""
"msg_script_143_ontaskaccept",", lúc nãy th§t nguy hi¬m, ta b¸ vài tên H¡c Y Nhân ğánh lén, may mà chÕy thoát.. Ğã qua nguy hi¬m, gi¶ thì ta giao tính mÕng cho ngß½i!",""
"msg_script_157_onactive","Quân hµ v® cüa ta ğã ğªn r°i, ğánh cho quân ğ¸ch tan tác",""
"msg_script_158_onactive_1","Kë nào °n ào làm ta tïnh gi¤c..,",""
"msg_script_158_onactive_2",", ngß½i không mu¯n s¯ng næa sao",""
"msg_script_158_ondead","CØa thông ğªn Nµi Ğß¶ng ğã m· r°i",""
"msg_script_158_ontalk","Chªt này....",""
"msg_script_159_fenshen","Ngß½i không th¬ ğánh bÕi ğßşc ta, phân thân",""
"msg_script_254_onarrive","Cu¯i cùng cûng ğã an toàn r°i! ",""
"msg_script_254_onarrive_14","Chung quanh có ğµng tînh, hãy c¦n th§n!",""
"msg_script_254_onarrive_19","Tr¶i Õ, b÷n chúng vçn còn · ğây, chúng ta li«u chªt v¾i chúng v§y! ",""
"msg_script_254_onarrive_23","A, tên ğáng chªt, ngß½i dám nh± lông trên lßng c÷p àh! Ta nh¤t ğ¸nh phäi cho ngß½i nªm mùi lşi hÕi!",""
"msg_script_254_onarrive_26","H×, b÷n bây dám ğánh ta ğau thª này.. Ğáng chªt! ",""
"msg_script_254_onarrive_5","C¦n th§n, b÷n chúng không d­ dàng ğ¬ yên cho chúng ta nhß v§y ğâu",""
"msg_script_254_ondead","Xem ra, mµt mình ngß½i thì không th¬ bäo v® ta, phäi tìm thêm nhi«u ngß¶i ğªn giúp m¾i ğßşc..",""
"msg_script_254_onhplower_20","Ğ×ng lo cho ta, ngß½i mau chÕy ği!",""
"msg_script_254_onhplower_40","Ta b¸ thß½ng n£ng, mau cÑu ta..",""
"msg_script_254_onhplower_60","B÷n chúng quä th§t r¤t ğông..",""
"msg_script_254_onhplower_80","Không ±n r°i, chúng ta b¸ ğµt kích, mau ğªn bäo v® ta!",""
"msg_script_254_ontaskaccept",", b÷n chúng nó th§t là ğáng ghét. L¥n sau nªu lÕi b¸ mai phøc, ta s¨ quyªt chiªn v¾i chúng!",""
"msg_script_267_onrunaway","Ngß½i ch¶ ğ¤y, ta s¨ g÷i huynh ğ® ğªn cho ngß½i biªt tay ",""
"msg_script_3014_onendduel_lost","Uhm, quä là có ch¤t cao tiên có khác, ğ¯i phó v¾i lû yêu quái bình thß¶ng d­ nhß tr· bàn tay thôi.",""
