STRID,LAN,Remark
1,title,"CÞ chæ to"
2,17,"CÞ chæ 1"
3,18,"CÞ chæ 2"
4,19,"CÞ chæ 3"
101,"Nhân v§t",
102,"Thuµc tính nhân v§t",
103,"Tên nhân v§t",
104,"Môn phái h® th¯ng",
105,C¤p,
106,"Khí huyªt",
107,"Linh lñc",
108,"Ði¬m PK",
109,"Thuµc tính c½ s·",
110,"SÑc mÕnh",
111,"Nhanh nh©n",
112,"Trí tu® ",
113,"Th¬ lñc",
114,99999,
115,99999,
116,99999,
117,99999,
118,"Chi tiªt",
119,"Sát thß½ng",
120,"Ch¯ng ðÞ ",
121,"Phòng ngñ ",
122,"Né tránh",
123,"BÕo kích",
124,"Thuµc tính nguyên t¯ ",
125,"Höa công",
126,"Thüy công",
127,"Ph§t công",
128,"Ðµc công",
129,"Lôi công",
130,99999,
131,99999,
132,99999,
133,99999,
134,99999,
135,"Kháng höa",
136,"Kháng thüy",
137,"Kháng ph§t",
138,"Kháng ðµc",
139,"Kháng lôi",
140,"70  /  99.2%",
141,"3123 / 342312",
142,"1234 / 112344",
143,99999,
144,"Tiªn ðµ tu luy®n",
145,"Tiªn ðµ tu luy®n",
146,"Vô danh ti¬u t¯t",
147,"Tiªn ðµ tu luy®n",
148,"Vô danh ti¬u t¯t",
149,"Tiªn ðµ tu luy®n",
150,"Vô danh ti¬u t¯t",
151,"Tiªn ðµ tu luy®n",
152,"Vô danh ti¬u t¯t",
153,"Tiªn ðµ tu luy®n",
154,"Vô danh ti¬u t¯t",
155,"Tiªn ðµ tu luy®n",
156,"Vô danh ti¬u t¯t",
157,"Tiªn ðµ tu luy®n",
158,"Vô danh ti¬u t¯t",
159,"Tiªn ðµ tu luy®n",
160,"Vô danh ti¬u t¯t",
161,"Tiªn ðµ tu luy®n",
162,"Vô danh ti¬u t¯t",
163,"Vô danh ti¬u t¯t",
164,"Tiªn ðµ tu luy®n",
165,"Ðµng tác thß¶ng",
166,"Cäm xúc",
167,"Thuµc tính",
168,"Nguyên th¥n",
169,"Danh v÷ng",
170,"Ðµng tác",
171,"KÛ nång",
172,"Pháp bäo",
