STRID,LAN,Remark
Dungeon_3c_14,"Chiªn tích cüa ğµi tham gia",
Dungeon_3c_3,"Sau tr§n chiªn ğ¤u quyªt li®t, cu¯i cùng ğã phân th¡ng bÕi, tr§n so tài kªt thúc tÕi ğây.",
Dungeon_3c_Exp,"Kinh nghi®m có ğßşc: ",
Dungeon_3c_Money,"Ngân lßşng có ğßşc: ",
Dungeon_3c_Nimbus,"Linh lñc có ğßşc: ",
Dungeon_3c_Score,"Ği¬m s¯ có ğßşc: ",
Dungeon_3c_Team,"Ğµi ngû tham gia: ",
Dungeon_3c_Winner,"Chúc m×ng ngß¶i chiªn th¡ng: ",
Dungeon_Protect_Fail_21,"Nhøc th¬ cüa Kh± ĞÕi Sß ğã b¸ t±n thß½ng không ít, quÖ kª cüa Ma Giáo Yêu Nhân thiªu chút næa ğã ğÕt ğßşc. May là ğÕi sß ğã k¸p hoàn nguyên th¥n. Tuy ğã ğánh lùi yêu nhân nhßng c¥n phäi tînh dßŞng khá lâu. L¥n sau tiªp tøc c¯ g¡ng v§y.",
Dungeon_Protect_Fail_3,"Th§t ğáng tiªc, ngß½i không qua ğßşc khäo nghi®m",
Dungeon_Protect_Success_14,"ĞÕt ği¬m:",
Dungeon_Protect_Success_20,"Sau l¥n khäo nghi®m này, ngß½i ğã thành công bäo v® ğßşc nhøc th¬ cüa Kh± ĞÕi Sß, ğánh lui b÷n yêu ğ° Ma Giáo và âm mßu cüa chúng cûng ğã b¸ th¤t bÕi hoàn toàn. Nguyên th¥n cüa Kh± ĞÕi Sß cûng ğã quay v«, nhæng tên qu¤y r¯i còn lÕi s¨ ğßşc ngß¶i xØ lı nhanh thôi.",
Dungeon_Protect_Success_3,"Chúc m×ng ğã vßşt äi!",
Dungeon_Protect_Success_8,"S¯ l¥n:",
Dungeon_Protect_Success_Exp,"Kinh nghi®m:",
Dungeon_Protect_Success_God,"L¸ch luy®n:",
Dungeon_Protect_Success_Money,"Ngân lßşng:",
Dungeon_Protect_Success_Nimbus,"Linh lñc:",
