"Ghi chú","Ti«n t¯","Nµi dung",""
"ID","Prefix","Content",""
"1","Cß¶i ğau kh±","$N cäm th¤y trong lòng vô cùng ğau kh±.",""
"2","Cß¶i ğau kh±","$N nhìn $n, bu°n ğªn mÑc b§t khóc.",""
"3","Cß¶i ğau kh±","$N cäm th¤y trong lòng vô cùng ğau kh±.",""
"4","Cß¶i ğau kh±","$N nhìn $n, bu°n ğªn mÑc b§t khóc.",""
"5","Cß¶i ğau kh±","Khuôn m£t $N hi®n rõ vë ğau kh±.",""
"6","Cß¶i mïm 1","Khuôn m£t $N n· mµt nø cu¶i mïm.",""
"7","Cß¶i mïm 1","$N nhìn $n mïm cß¶i.",""
"8","Cß¶i mïm 1","Khuôn m£t $N n· mµt nø cu¶i mïm.",""
"9","Cß¶i mïm 1","$N nhìn $n mïm cß¶i.",""
"10","Cß¶i mïm 1","$N nhìn m÷i ngß¶i mïm cß¶i.",""
"11","Nghi ng¶ 1","$N nghî nát óc cûng không hi¬u nguyên nhân vì sao.",""
"12","Nghi ng¶ 1","$N tö ı nghi ng¶ $n.",""
"13","Nghi ng¶ 1","$N nghî nát óc cûng không hi¬u nguyên nhân vì sao.",""
"14","Nghi ng¶ 1","$N tö ı nghi ng¶ $n.",""
"15","Nghi ng¶ 1","$N tö ı nghi ng¶.",""
"16","Ngß¶i máy","$N ôm ch£t l¤y ğ¥u thét lên: ""Ğ×ng, ğ×ng, ğ×ng l¤y bµ xØ lı trung ß½ng cüa tôi!""",""
"17","Ngß¶i máy","$N gõ thØ vào ğ¥u $n thì nghe nhæng tiªng keng keng vang lên, khi m· ra xem thì th¤y bên trong là nhæng dây ği®n r¯i nhß t½ vò, bèn l¡c ğ¥u nói: ""L÷ai ngß¶i máy này ğã quá cû kî r°i!""",""
"18","Ngß¶i máy","$N ôm ch£t l¤y ğ¥u thét lên: ""Ğ×ng, ğ×ng, ğ×ng l¤y bµ xØ lı trung ß½ng cüa tôi!""",""
