ID,Name,Desc,TalentDesc
,Tên,"Thuyªt minh","Miêu tä nång lñc"
2,"Thu th§p","Thu th§p",
3,"M· cØa","M· cØa",
4,"B¡t thú nuôi","B¡t thú nuôi",
11,"Hái dßþc","Thu th§p dßþc li®u",
12,"Ðào khoáng","Thu th§p tinh thÕch",
13,"Khai qu§t","Thu th§p v§t ph¦m quý ",
14,"Luy®n ðan","Tinh luy®n chª tÕo dßþc ðan",
15,"Chª phù ","TÕo bùa chú",
16,"Thu§t tÕo r¯i","Chª tÕo r¯i",
17,"Luy®n khí ","Tinh luy®n ðÕo cø c¤p cao",
18,"Phân giäi","Phân giäi ðÕo cø c¤p cao",
20,"Quái Ð° Thü Kích","Quái v§t ð° thü công kích",
24,"Chª tÕo ma thÕch","Chª tao ma thÕch giúp tång thuµc tính cüa ðÕo cø phòng v® và pháp bäo",
52,"Nga My Phi Luân Kích","Ðòn t¤n công b¢ng Phi Luân cüa Nga My",
53,"Nga My Phi Kiªm Kích","Ðòn t¤n công b¢ng Phi Kiªm cüa Nga My",
54,"Ph§t Môn Thi«n Trßþng Kích","Ðòn t¤n công b¢ng Thi«n Trßþng cüa Ph§t Môn",
55,"Ph§t Môn Th¥n Côn Kích","Ðòn t¤n công b¢ng Côn cüa Ph§t Môn",
56,"Bách Hoa Phi Luân Kích","Ðòn t¤n công b¢ng Phi Luân cüa Bách Hoa",
57,"Bách Hoa Phi Kiªm Kích","Ðòn t¤n công b¢ng Phi Kiªm cüa Bách Hoa",
58,"Thanh Thành Liên Ðao Kích","Ðòn t¤n công b¢ng Ðao Xích cüa Thanh Thành",
59,"Thanh Thành Ðoän Ðao Kích","Ðòn t¤n công b¢ng Dao Gåm cüa Thanh Thành",
60,"Tiên C¥m Cung Kích","Ðòn t¤n công b¢ng Cung cüa Tiên C¥m",
61,"Tiên C¥m Nö Kích","Ðòn t¤n công b¢ng Nö cüa Tiên C¥m",
101,"ThØ-Ð¸nh thân","Ha ha, thØ mµt chút, vung tay múa rìu th§t nhanh, gi¯ng nhß äo änh chuy¬n ðµng, kÛ nång liên tøc.",
102,"ThØ-Vô ð¸ch","Tiêu di®t kë thù th§t anh dûng",
103,"ThØ-†n thân","KÛ nång th§t c× ",
104,"ThØ-Ði«u Tuyªt","Blizzard is Coming! ",
105,"ThØ-Tång huyªt khí ","Phøc h°i huyªt khí cho mình ho£c ð°ng ðµi",
106,"ThØ-Giäi tr× ð¸nh thân",,
107,"ThØ-Tñ h°i sinh",,
108,"ThØ-H°i sinh",,
109,"ThØ-D¸ch chuy¬n tÑc th¶i",,
110,"ThØ-Công kích ch¾p nhoáng",,
111,,,
112,"ThØ-npcH² trþ ",,
113,"ThØ-npcTñ hüy",,
114,"ThØ-M· rß½ng châu báu",,
115,"ThØ-Toàn th¬ giäm t¯c",,
116,"ThØ-Vung thÕch",,
117,"ThØ-H¤p thu thù h§n oán khí ","Blizzard is Coming! ",
118,"ThØ-Ði«u tiªt thù h§n ","Tång huyªt khí cho mình ho£c ð°ng ðµi",
119,"ThØ-EffTham s¯ ","Ha ha, thØ mµt chút, vung tay múa rìu th§t nhanh, gi¯ng nhß äo änh chuy¬n ðµng, kÛ nång liên tøc.",
120,"ThØ-Tri®u h°i tùy tùng ","Ha ha, thØ mµt chút, vung tay múa rìu th§t nhanh, gi¯ng nhß äo änh chuy¬n ðµng, kÛ nång liên tøc.",
121,"ThØ-Chuy¬n hóa thành tùy tùng","Ha ha, thØ mµt chút, vung tay múa rìu th§t nhanh, gi¯ng nhß äo änh chuy¬n ðµng, kÛ nång liên tøc.",
130,"Xích Di­m Träm","Kích thích lu°ng höa khí mãnh li®t cüa bän thân, ð¯t cháy tà linh xung quanh c½ th¬. TÕo ra ði¬m sát thß½ng là $DmgMin(ActorDPS*2)$-$DmgMax(ActorDPS*2)$ ði¬m. KÛ nång t¤n công theo phÕm vi.","Chiêu thÑc tÑc thì "
131,"ThØ-Tång cß¶ng khí huyªt",,"Tång cß¶ng khí huyªt $200*SkillLevel$"
132,"ThØ-Xung phong",,
201,"Tø Höa Dçn","H¤p thø nguyên t¯ höa trong tr¶i ð¤t và ngßng tø trên Phi Kiªm ð¬ t¤n công møc tiêu , tÕo ra ði¬m sát thß½ng ð¯i v¾i møc tiêu là $DmgMin(ActorDPS*1.5)$-$DmgMax(ActorDPS*1.5)$ ði¬m.",
202,"Ly Höa Phá ","Phi Kiªm phóng lên t× m£t ð¤t ðâm xuyên thân th¬ møc tiêu , gây ra $DmgMin(ActorDPS*2.5)$-$DmgMax(ActorDPS*2.5)$ ði¬m sát thß½ng.",
203,"Huy«n Höa Phá ","Phi kiªm kèm theo höa quang phóng nhß bay v« phía møc tiêu, ði¬m sát thß½ng tÕo ra là $DmgMin(ActorDPS*1.2)$-$DmgMax(ActorDPS*1.2)$ , ð°ng th¶i khiªn ð¯i phß½ng không th¬ t¤n công xa trong vòng 3 giây.",
204,"Höa Long Vû ","Tri®u h°i Höa Long hÕ phàm, tÕo ra ði¬m sát thß½ng là $DmgMin(ActorDPS)$-$DmgMax(ActorDPS)$, kèm theo hi®u Ñng thiêu cháy , ði¬m sát thß½ng trong vòng 15 giây là $PartyDPS(MWLev(204),0)*3$ ði¬m.",
205,"Xích Di­m Träm","Kích thích lu°ng höa khí mãnh li®t cüa bän thân, ð¯t cháy tà linh xung quanh c½ th¬. TÕo ra ði¬m sát thß½ng là $DmgMin(ActorDPS*2)$-$DmgMax(ActorDPS*2)$ ði¬m. KÛ nång t¤n công theo phÕm vi.",
211,"Thanh Tuy«n Dçn","H¤p thø nguyên t¯ thüy trong tr¶i ð¤t và ngßng tø trên phi kiªm ð¬ t¤n công møc tiêu, tÕo ra ði¬m sát thß½ng ð¯i v¾i møc tiêu là  $DmgMin(ActorDPS*1.5)$-$DmgMax(ActorDPS*1.5)$ ði¬m.",
212,"Huy«n Bång Träm","Nguyên t¯ thüy trên phi kiªm kªt tinh thành hàn bång, công träm møc tiêu , tÕo ra ði¬m sát thß½ng ð¯i v¾i møc tiêu là $DmgMin(ActorDPS*1.1)$-$DmgMax(ActorDPS*1.1)$, ð°ng th¶i ðông cÑng møc tiêu trong 5 giây.",
213,"Nµ Häi Ba","Phát ra mµt cµt nß¾c cñc l¾n t¤n công v« phía møc tiêu, tÕo ra ði¬m sát thß½ng là $DmgMin(ActorDPS*2.5)$-$DmgMax(ActorDPS*2.5)$.",
214,"Häi Tri«u Quyªt","Hình thành mµt xoáy nß¾c gi¯ng nhß häi tri«u, khiªn møc tiêu giäm t¯c ðµ và ch¸u ði¬m sát thß½ng là $DmgMin(ActorDPS*0.75)$-$DmgMax(ActorDPS*0.75)$ ði¬m. KÛ nång t¤n công theo  phÕm vi.",
215,"Phi Lßu Träm","Phi Kiªm chém møc tiêu nh© nhàng tña mây bay nß¾c chäy, tÕo ra ði¬m sát thß½ng là $DmgMin(ActorDPS*1.2)$-$DmgMax(ActorDPS*1.2)$, khiªn møc tiêu r½i vào tình trÕng phòng ngñ yªu ¾t ð¯i v¾i h® Thüy, m²i l¥n b¸ kÛ nång Thüy H® t¤n công phäi ch¸u ði¬m sát thß½ng t¯i ða là $PartyDPS(MWLev(215), 0)*0.25$ ði¬m.",
221,"Hàn Bång Thuçn","Dùng pháp lñc ngßng tø thành 3 qu¥ng hàn bång hµ thuçn, tång ði¬m phòng ngñ lên $DRRToArmor(0.1,MWLev(221))$ ði¬m, không th¬ thi tri¬n cùng lúc v¾i Thiên Cß½ng Thu§t.",
222,"Hàn Bång Thích","Tri®u h°i bång trø t¤n công møc tiêu, tÕo ra ði¬m sát thß½ng là $DmgMin(PartyDPS(MWLev(222), 0)*0.8)$-$DmgMax(PartyDPS(MWLev(222), 0)*0.8)$ ði¬m, ð°ng th¶i khiªn t¯c ðµ di chuy¬n cüa møc tiêu giäm xu¯ng 80% trong vòng 5 giây.",
223,"Khích Tu® Thu§t","Tång ði¬m trí tu® liên tøc trong 30 phút là $MWLev(223)+5$ ði¬m, có th¬ thi tri¬n phép lên ð¯i tßþng khác.",
224,"Vñng Huy®t Thu§t","Khiªn quái v§t hôn mê trong 20 giây, chï có th¬ sØ døng ð¯i v¾i nhæng quái v§t ðang trong trÕng thái không tác chiªn.",
225,"Thiên Cß½ng Thu§t","Ngçu nhiên giäi tr× mµt trÕng thái hæu ích cüa møc tiêu.",
226,"Ð¸a Cß½ng Thu§t","Pháp thu§t t¤n công theo phÕm vi, tÕo ra $DmgMin(PartyDPS(MWLev(226),0)*2)$-$DmgMax(PartyDPS(MWLev(226),0)*2)$ ði¬m sát thß½ng, ð°ng th¶i làm møc tiêu choáng trong 5 giây.",
