"ID","name","desc","talk_pre","talk_accept","talk_doing","talk_finish","task_failed","","","","","","",""
"1","Dßşc Thüy Th¥n KÏ ","Ğªn Ngßng Bích Nhai b¯n b« hoang v¡ng, giúp Duy Thanh thu th§p Tân Ma Cô ğ¬ bào chª Dßşc Thüy Th¥n KÏ.","$username$, hoan nghênh ngß½i ğã ğªn Ngßng Bích Nhai. Ta ğang h÷c cách pha chª dßşc thüy th¥n kÏ. Nhæng Tân Ma Cô quanh ğây ğã h¤p thø ğßşc linh khí tr¶i ğ¤t, r¤t thích hşp ğ¬ làm thu¯c. Ngß½i có th¬ giúp ta thu th§p không?","Tân Ma Cô trên m£t ğ¤t r¤t nhi«u, chï c¥n tìm c¦n th§n là có th¬ thu hoÕch ğßşc.","Thu hoÕch ğßşc nhi«u không? Xem xét c¦n th§n vùng ğ¤t xung quanh, ğ×ng ği xa quá. ","Ğã thu th§p xong r°i à? Th§t cäm kích!","Xem ra phäi tñ xu¤t thü m¾i ğßşc!","","","","","","",""
"2","GØi T£ng Dßşc Phß½ng","$username$, ğßa thu¯c ğªn phía b¡c Thiên Hóa Thôn, giao cho thôn dân ğang ch¶ ğşi. Xu¯ng núi ği v« hß¾ng Nam, ği qua phía b¡c Thiên Hóa Thôn là ğªn n½i. ","Nhæng con S½n Lang g¥n Thiên Hóa Thôn ğµt nhiên tr· nên hung dæ, g¥n ğây thß¶ng kªt thành b¥y ğàn t¤n công thôn dân Thiên Hóa Thôn, khiªn h÷ thø thß½ng phäi lßu tÕi gia, không làm vi®c gì ğßşc. Ta có phß½ng thu¯c có th¬ tr¸ ğßşc ngoÕi thß½ng, phi«n ngß½i giúp ta mang ğªn cho h÷, có th¬ nhân c½ hµi này ğ¬ thØ tài cüa mình. ","Trên ğß¶ng s¨ có nhæng con S½n Lang ¦n n¤p, ngß½i phäi hªt sÑc c¦n th§n.","Thôn dân Thiên Hóa Thôn ğang ğşi phß½ng thu¯c này! Nªu ngß½i cäm th¤y hi®n gi¶ không th¬ ğ¯i phó v¾i b÷n S½n lang trên ğß¶ng ği thì ğ¥u tiên có th¬ giªt vài dã th¯ · Thø lâm ğ¬ luy®n thân thü, ho£c có th¬ tìm mµt vài ngß¶i ğÕo hæu ğ°ng hành.","Có ğßşc phß½ng thu¯c này, ta có th¬ m¶i dßşc sß trong thôn bào chª thu¯c, ğa tÕ ngß½i! ","Sao? Vi®c nhß thª này mà cûng không th¬ hoàn thành ğßşc sao?","","","","","","",""
"3","MÛ V¸ Th¯ Nhøc","H² trş Ph§t Nô có ğßşc Th¯ Nhøc th½m ngon g¥n khu vñc Ngßng Bích Nhai. ","Ôi...Trên núi bao nhiêu nåm nay, chï toàn ån chay, lÕt l¨o vô v¸. Nay sß phø không có · ğây, mau giúp ta l¤y th¸t Gia Th¯ ğ¬ thay ğ±i chút kh¦u v¸ ğßşc không?","Ån chay hay ån m£n chÆng qua chï là hình thÑc, chï c¥n Ph§t · trong tâm là ğßşc! Quan tr÷ng nh¤t vçn là tâm ı.","Ti¬u Gia Th¯ thß¶ng ğ«u ph½i n¡ng g¥n Ngßng Bích Nhai, bän tính hi«n lành, r¤t d­ b¡t.","Ôi... Mùi v¸ cüa nhi«u nåm chßa ğßşc thß·ng thÑc, th§t là ngon!.....??Ngß½i ğ×ng nhìn ta b¢ng c£p m¡t ğó. Ta ğã nói r°i, ån chay hay ån m£n chÆng qua chï là hình thÑc, chï c¥n Ph§t · trong tâm là ğßşc! Quan tr÷ng nh¤t vçn là tâm ı ","Không có cách nào l¤y ğßşc th¸t Gia Th¯ sao? Ôi ôi... chï còn cách ch¶ ğşi mà thôi.","","","","","","",""
"4","Tr×ng Gi¾i Nam Phß½ng Hãn Phï ","$username$, hoang mÕc phía nam là doanh trÕi cüa b÷n Cß¶ng ĞÕo, Thiªt Tßşng Thiên Hóa Thôn cØ ngß½i ği cänh cáo b÷n Cß¶ng ĞÕo. ","Cß dân g¥n ğây ğ«u ğªn ti®m cüa ta làm døng cø canh tác, nhßng g¥n ğây phía nam hoang mÕc có b÷n cß¶ng ğÕo tø t§p, nhæng nguyên li®u c¥n thiªt ğ«u b¸ b÷n chúng cß¾p ğoÕt, nªu vì thª mà làm lŞ vi®c canh tac cüa thôn dân thì chÆng hay chút nào! Phi«n ngß½i giúp tiêu di®t b÷n cß¶ng ğÕo vô pháp vô thiên ğó!","$username$, Vi®c cänh cáo b÷n ğÕo t£c phäi dña vào ngß½i r°i.","B÷n ğÕo t£c chiªm ğóng · phía nam hoang mÕc, bình thß¶ng vçn ği thành nhóm, phäi hªt sÑc c¦n th§n. ","Ğã hoàn thành nhi®m vø r°i à? $username$, ta quä là không nhìn nh¥m ngß½i, nªu ai cûng ğßşc nhß ngß½i thì b÷n ğÕo t£c kia hªt ğ¶i r°i! ","Ôi ôi... L¨ nào chúng ta lÕi tiªp tøc b¸ áp bÑc nhß thª này sao?","","","","","","",""
"5","V§t Ph¦m Th¤t LÕc","Chß·ng Qu¥y Thiên Hóa Thôn cØ ngß½i ği tìm v§t ph¦m th¤t lÕc cüa ông ta. Nghe nói b÷n Thü Lînh Cß¶ng ĞÕo thß¶ng c¤t nhæng món ğ° cß¾p bóc v« ğ£t trong mµt cái rß½ng và cho ngß¶i canh giæ. ","CÑ nghî ğªn vi®c ğó là th¤y sş, khó khån l¡m m¾i ğßa ğßşc hàng vào Thành Ğô, không ng¶ giæa ğß¶ng g£p phäi b÷n ğÕo t£c, chúng cß¾p sÕch hàng hóa, suıt chút næa là m¤t mÕng. Nªu có ai giúp ta l¤y lÕi hàng hóa t× tay b÷n ğÕo t£c, ta xin h§u tÕ. ","B÷n ğÕo t£c có r¤t nhi«u ğ® tØ bäo v®, ngß½i phäi c¦n th§n.","CÑ ği thÆng theo hß¾ng nam cüa Thiên Hóa Thôn thì s¨ ğªn doanh trÕi cüa b÷n ğÕo t£c, ta nghî chúng c¤t gi¤u hàng hóa · ğó. ","Ha ha! Cu¯i cùng cûng báo ğßşc thù, tiªc là không ğßşc t§n m¡t nhìn th¤y nhæng tên ğÕo t£c ğó b¸ tr×ng tr¸ nhß thª nào. LÕi ğây! Ğây là ph¥n thß·ng cho ngß½i.","Nªu chï dña vào sÑc cüa mµt ngß¶i thì không th¬ hoàn thành nhi®m vø, có th¬ ğ°ng hành cùng v¾i nhæng ngß¶i khác.","","","","","","",""
"6","Chí MÕng Chi Ti­n","Ğ¬ ğ¯i phó v¾i nhæng dã thú b¸ tà linh xâm nhi­m, Thiªt Tßşng làm vi®c ngày ğêm không nghï ğ¬ tÕo ra nhæng phù ti­n v¾i nguyên li®u là Xà Vî cüa Song Thân Xà. ","$username$, g¥n ğây có r¤t nhi«u dã thú b¸ tà linh xâm nhi­m, c¥n có nhæng thanh ti­n ğ£c bi®t m¾i ğ¯i phó v¾i chúng ğßşc. Nhßng chª tÕo loÕi ti­n này c¥n có d¸ch thüy tích luy®n t× Song Thân Xà Vî. Mà ta thì ğang phäi chu¦n b¸ nhi«u thÑ khác, ngß½i hãy giúp ta ğªn g¥n ğ¥m H° Linh sån Song Thân Xà, sau ğó ğem 8 cái Song Thân Xà Vî v« ğây ğßşc không? ","Song Thân Xà r¤t xäo quy®t, c¦n th§n këo chúng chÕy thoát.","T§p tính cüa Song Thân Xà khác v¾i Song Ğ¥u Xà, b÷n chúng ğa ph¥n hoÕt ğµng tÕi khu vñc phía B¡c ğ¥m H° Linh.","Có ğßşc nguyên li®u là có th¬ chª tÕo phù ti­n bäo v® thôn r°i, xin hãy nh§n mµt chút thành ı cüa ta. ","Không có nguyên li®u thì không th¬ chª tÕo phù ti­n, th§t ğau ğ¥u! ","","","","","","",""
"7","Ngån ch£n Ti¬u Dã Th¯ ","Giúp Duy Thanh tiêu di®t b÷n Ti¬u Dã Th¯ dß¾i chân núi Ngßng Bích Nhai.","$username$, sß phø sai ta quän lı cây cö Ngßng Bích Nhai, nhßng m£c dù ta chåm chï nhß thª nào, b÷n Ti¬u Dã Th¯ ğó vçn phá tan hoang cây c¯i trên núi. Nªu sß phø có höi, ta làm sao nói ğây? Ngß½i có th¬ giúp ta nghî cách ğu±i b÷n chúng ği không? Ta s¨ ğ«n ½n ngß½i.","Ta tin ngß½i nh¤t ğ¸nh làm t¯t vi®c này, ğa tÕ ngß½i trß¾c.","Sao? B÷n qu¤y phá ğó có phäi r¤t khó ğ¯i phó?","T¯t quá r°i, ta ğã biªt $username$ không làm ta th¤t v÷ng mà. ","Xem ra ta ğã nhìn nh¥m ngß¶i r°i!","","","","","","",""
"8","Ph§t Môn Kh·i Ngu°n","Ph§t Nô cØ ngß¶i ği tìm Lı Ninh ğ¬ tìm hi¬u thêm v« kh·i ngu°n cüa Ph§t Môn.","$username$, kh·i ngu°n Ph§t Môn có t× lâu ğ¶i, ngay cä ta theo sß phø bao nåm vçn còn nhi«u ği¬m chßa th¤u su¯t. Ngß½i hãy ğªn tìm Lı Ninh sß phø ğ¬ ğßşc+D20 giäi thích c£n k¨ h½n.","Lı Ninh sß phø ğang · g¥n ğây, ği vài bß¾c là có th¬ tìm ra. ","Vçn chßa tìm ra Lı Ninh sß phø sao? Ngß¶i · r¤t g¥n ğây mà! Ngß½i tìm kÛ h½n xem!","$username$, Chß·ng Môn Ph§t Môn hi®n tÕi là BÕch My Lão T±, ngoài ra còn có mµt v¸ th¥n tång Thiên Mông Lão Thi«n Sß, còn cao cß¶ng h½n cä chß·ng môn, ğã mai danh ¦n tích t× lâu.","... Ta chï kêu ngß½i ği tìm Lı Ninh sß phø höi vi®c này! TÕi sao ngay cä ği«u này cûng làm không ğßşc?","","","","","","",""
"9","Tu Luy®n Pháp Bäo","Ğªn quäng trß¶ng Ngßng Bích Nhai tìm Lı Ninh, h÷c cách tu luy®n Pháp Bäo. ","$username$, m²i ğ® tØ khi m¾i gia nh§p Ph§t Môn ğ«u phäi theo Lı Ninh sß phø h÷c kÛ nång luy®n Pháp bäo, ngß½i cûng không ngoÕi l®. Mau ği ği!","Lı Ninh sß phø ğang · g¥n ğây, ği vài bß¾c là có th¬ tìm ra. ","Vçn chßa tìm ra Lı Ninh sß phø sao? Ngß¶i · r¤t g¥n ğây mà! Ngß½i tìm kÛ h½n xem!","Ğ¯i v¾i kÛ nång tu luy®n Pháp Bäo, ngß½i c¥n nghe rõ. Sau khi di®t quái và hoàn thành mµt vài nhi®m vø, không chï tích lûy ğßşc kinh nghi®m, ngân lßşng mà còn có ğßşc linh lñc. Linh lñc chính là dùng ğ¬ tu luy®n Pháp Bäo. Ngß½i có th¬ m· lña ch÷n Ğµng Tác trong màn hình Thuµc Tính Nhân V§t, sau ğó nh¤n vào bi¬u tßşng tu luy®n pháp bäo ğ¬ b¡t ğ¥u tu luy®n. C¤p ğµ Pháp Bäo càng tång thì nång lñc chiªn ğ¤u càng mÕnh. Sau khi tång c¤p Pháp Bäo, kÛ nång càng ngày thu¥n thøc, có th¬ phát huy uy lñc r¤t l¾n.","Nhi®m vø nhß thª này mà cûng th¤t bÕi ß? Th§t là hªt cách. ","","","","","","",""
"10","S½n Lang nguy hi¬m","Giúp Duy Thanh tiêu di®t b÷n Ti¬u S½n Lang dß¾i chân núi Ngßng Bích Nhai. Chính chúng khiªn cho Ti¬u Dã Th¯ b¸ nh§p ma, tr· nên hung hãn khác thß¶ng.","$username$, Thì ra Ti¬u Dã Th¯ g¥n ğây có nhæng hành vi khác thß¶ng là vì b÷n Ti¬u S½n Lang änh hß·ng, xem ra không cho b÷n chúng biªt tay thì không ğßşc r°i. Vi®c ğánh ğu±i Ti¬u S½n Lang ğ¯i v¾i ngß½i có v¤n ğ« gì không?","Nói th§t, g¥n ğây bi¬u hi®n cüa mµt vài loÕi dã thú ğ«u r¤t kÏ lÕ, nói không ch×ng s¨ xäy ra chuy®n gì còn kÏ lÕ h½n næa. ","Quét sÕch Ti¬u S½n Lang thì Ti¬u Dã Th¯ có tr· lÕi bình thß¶ng không?","Ôi! Tr× ğßşc b÷n Ti¬u S½n Lang, có th¬ an tâm mµt chút r°i! ","L¨ nào chúng ta phäi tiªp tøc ch¸u ğñng hành vi tàn ác này sao?","","","","","","",""
