"ID","name","desc","talk_pre","talk_accept","talk_doing","talk_finish","task_failed","","","","","","","","","","",""
"1700","Quái B®nh cüa Phø Thân","Hãy tìm HÕ H¥u Qu¯c Ð¯ng ðÕi phu tr¸ b®nh","Phø thân cüa ta nhi­m b®nh ðã vài ngày do vªt c¡n cüa loÕi ðµc trùng trong s½n lâm. Nay b®nh tình ngày càng tr¥m tr÷ng, mong kÏ hi®p giúp ta tìm HÕ H¥u ðÕi phu!","Ti¬u næ phäi · lÕi chåm sóc cho phø thân, ðành nh¶ kÏ hi®p giúp ðÞ.","KÏ hi®p l¥n này ðªn có vi®c gì?","Chà, loÕi b®nh này lÕ quá, lão phu phäi nghiên cÑu m¾i ðßþc!","","","","","","","","","","","",""
"1701","Hái Thäo Dßþc","Giúp HÕ H¥u ðÕi phu hái mµt ít Ngû Phøng Thäo","Th§t ðáng tiªc, loÕi ðµc trùng mà Chï Tiên cô nß½ng miêu tä, lão phu chßa t×ng biªt ðªn. Tình hình bây gi¶ ðành dùng Ngû Phøng Thäo tr¸ li®u xem thª nào.","Ngû Phøng Thäo có th¬ giúp b± khí an th¥n, có vë xài ðßþc.","Ðã hái ðü thäo dßþc chßa?","Ða tÕ ðÕi hi®p trþ giúp!","","","","","","","","","","","",""
"1702","Quái Khiªt Trong R×ng","Hãy thu th§p Hóa Huyªt Cao trên ngß¶i Quái Khiªt · Sam Thø Lâm mang cho HÕ H¥u Qu¯c Ð¯ng","Ngoài Ngû Phøng Thäo còn c¥n thêm loÕi thäo dßþc thông huyªt mÕch. Hãy l¤y Hóa Huyªt Cao trên ngß¶i Quái Khiªt · Sam Thø Lâm ðßþc v« cho lão phu ðßþc không?","Ngoài Ngû Phøng Thäo còn c¥n thêm Hóa Huyªt Cao dùng thông huyªt mÕch","Ngoài Ngû Phøng Thäo còn c¥n thêm Hóa Huyªt Cao dùng thông huyªt mÕch","Ða tÕ ðÕi hi®p trþ giúp!","","","","","","","","","","","",""
"1703","Dßþc Li®u TÕm Th¶i","Mang dßþc li®u cüa HÕ H¥u Qu¯c Ð¯ng cho CØu Chï Tiên.","V¾i nhæng dßþc li®u trß¾c ðó, lão phu ðã chª thành 1 loÕi Lãnh Hß½ng Hoàn. Hãy mang cho CØu Chï Cô Nß½ng xem có giúp gì cho phø thân cüa nàng không. Nªu không th¬ tr¸ dÑt b®nh thì lão phu cûng bó tay. Nghe nói Ðß¶ng Châu · L® Giang Thôn hình nhß có khä nång tr¸ ðßþc quái b®nh này, thØ ðªn ðó xem sao.","Lão phu hành y 10 nåm, chßa t×ng g£p loÕi quái b®nh nào nhß v§y.","Thu¯c cüa phø thân CØu Kª Trung ta ðã có chßa?","Sao? Có loÕi linh dßþc ðó à? V§y phäi tìm Ðß¶ng công tØ giúp ðÞ..","","","","","","","","","","","",""
"1704","C½ May","Hãy mua Tiêu Dao Tán t× Ðß¶ng Châu, mang v« cho CØu Kª Trung","Nªu nhß HÕ H¥u ÐÕi Phu nói ðúng thì nh¶ kÏ hi®p tìm g£p Ðß¶ng công tØ xin linh dßþc dùm ti¬u næ. Ti¬u næ th« s¨ vô cùng mang ½n!","Sñ này liên quan ðªn sinh m®nh cüa gia phø, ti¬u næ xin c¥u mong giúp ðÞ!","KÏ hi®p ðã l¤y ðßþc linh dßþc chßa?","Không ng¶ Tiêu Dao Tán này th¥n kÏ thª, b®nh tình cüa phø thân ðã ðÞ nhi«u r°i. Cäm tÕ kÏ hi®p!","","","","","","","","","","","",""
"1706","Lai L¸ch Cüa Linh Dßþc","Giúp Lý Nguyên Hóa tìm hi¬u lai l¸ch cüa linh dßþc","KÏ lÕ, n½i s½n thanh thü tú này lÕi phäng ph¤t yêu khí? H½n næa lÕi b¡t ngu°n t× dßþc ðiªm cüa CØu gia. Xem ra có ði«u bí ¦n, nh¶ kÏ hi®p tìm hi¬u xem sao.","Tuy có th¬ do b¥n ðÕo quá ða nghi nhßng trong th¶i yêu nghi®t hoành hành, ta vçn nên th¦n tr÷ng!","KÏ hi®p l¥n này ðªn có vi®c gì?","Làm gì có chuy®n ðó! Linh dßþc hi®u quä nhß v§y làm sao là yêu v§t ðßþc? Ch¡c l¥m r°i!","","","","","","","","","","","",""
"1707","Nghi Ho£c","Tìm CØu Hæu Nhân tÕi Tê Vân Ðµng höi rõ thñc hß","Ra thª ß? V§y ca ca cüa ta chÆng phäi ðang g£p nguy hi¬m sao? Huynh ¤y th¤y linh dßþc này hi®u nghi®m nên tiªp tøc ðªn Tê Vân Ðµng ð¬ hái thêm. Nªu Lý Nguyên Hóa ðÕi tiên nói ðúng thì nguy r°i! KÏ hi®p hay mau ði cÑu ca ca cüa ta v¾i!","Hy v÷ng không phäi là th§t..","KÏ hi®p l¥n này ðªn có vi®c gì?","Sao? Tiêu Dao Tán có v¤n ð« à?","","","","","","","","","","","",""
"1708","Công Cø Rß½ng Cüa CØu Hæu Nhân","Tiêu di®t ti¬u yêu · Sam Thø Lâm ð¬ l¤y lÕi hành lý cüa CØu Hæu Nhân","Trên ðß¶ng ði Tê Vân Ðµng, ðµt nhiên phát hi®n tiên tích, n½i mà Trß¶ng My Chân Nhân nåm xßa ðã chôn gi¤u Th¤t Tu Kiªm. Ai ng¶ b¸ ðám ti¬u yêu · Sam Thø Lâm ðµt kích, l¤y m¤t công cø rß½ng dùng ðñng v§t døng hái dßþc. Nh¶ kÏ hi®p l¤y lÕi dùm!","Vi®c này h® tr÷ng, mong kÏ hi®p giúp ðÞ","Ðã tìm lÕi ðßþc chßa?","Häo ý cüa kÏ hi®p, tÕi hÕ xin kh¡c ghi","","","","","","","","","","","",""
"1709","Bäo Kiªm Cüa Tiên Nhân","Tiêu di®t kiªm linh hµ v® cüa Th¤t Tu Kiªm Các, thu h°i Thiên Tuy«n Kiªm","KÏ hi®p vçn khöe chÑ? TÕi hÕ phát hi®n di tích cüa Th¤t Tu Kiªm Các trong s½n c¯c nên ð¸nh l¤y bäo kiªm thì b¸ yêu quái t¤n công. Không biªt kÏ hi®p có th¬ giúp l¤y 1 thanh bäo kiªm không?","Vi®c này h® tr÷ng, mong kÏ hi®p giúp ðÞ","KÏ hi®p l¥n này ðªn có vi®c gì?","Ðã có tin tÑc cüa ca ca r°i à? Th§t t¯t quá!","","","","","","","","","","","",""
"1710","Nghi®m Th§t Giä","Hãy mang thanh Thiên Tuy«n Kiªm ðªn cho Lý Nguyên Hóa nghi®m minh th§t giä.","Th§t kÏ lÕ, ta · ðây ðã nhi«u nåm mà lÕi không biªt r¢ng phía ngoài thôn lÕi có di tích cüa tiên nhân. Ca ca làm sao tìm ðßþc v§y? Ði«u này có vë c± quái; À, Lý Nguyên Hóa ti«n b¯i là cao nhân Nga My mà, có th¬ nh¶ ngß¶i giúp ðÞ.","Th¤t Tu Kiªm là bäo v§t cüa Nga My phái, ch¡c ch¡n Lý Nguyên Hóa ti«n b¯i biªt cách nghi®m minh.","KÏ hi®p l¥n này ðªn có vi®c gì?","Sao? Tìm th¤y 1 trong Th¤t Tu Kiªm à, ð¬ b¥n ðÕo xem qua ðã.","","","","","","","","","","","",""
