"ID","name","desc","talk_pre","talk_accept","talk_doing","talk_finish","task_failed","",""
"1800","Thanh Tr× Thi Trùng","Tiêu di®t Thi Trùng · doanh trÕi g¥n bên ğ¬ ngån ch£ng nó qu¤y r¥y doanh trÕi.","Xin chào ĞÕi Hi®p, hoan nghênh ğªn doanh trÕi Kinh ThÕch Dø. Xem khí s¡c cüa ĞÕi Hi®p ch¡c cûng träi qua giai ğoÕn khó khån · gi¾i chân tu m¾i ği ğªn bß¾c này. R¤t tiªc, cho ğªn nay thª gian này ch² nào cûng không an toàn, xung quanh ğây ğµt nhiên xu¤t hi®n nhi«u Thi Trùng, có r¤t nhi«u ngß¶i dân b¸ chúng làm hÕi, ĞÕi Hi®p có th¬ giúp chúng tôi mµt tay di®t tr× chúng không? TÕi hÕ còn phäi · lÕi ğây ch¶ sß phø quay lÕi.","Thi trùng ¦n trong nhæng lùm cö xung quanh doanh trai, ğÕi hi®p phäi c¦n th§n.","Thi trùng b¸ tiêu di®t chßa?","R¤t cäm kích ğÕi hi®p ğã ra tay tß½ng trş, nªu ränh hãy · lÕi Kinh ThÕch Dø này tham quan, có th¬ s¨ thu ğßşc nhæng thÑ ngoài ı mu¯n.","","",""
"1801","Doanh TrÕi Duy Nh¤t","Thi trùng xu¤t hi®n r¤t quái lÕ, phäi ğªn höi khoa h÷c Quái Tài Khu¤t Tài.","Phi Lôi Lînh v¯n là mµt danh lam th¡ng cänh, v« sau do mµt s¯ biªn c¯, lÕi có nhi«u Tà ma ğªn, Kinh ThÕch Dø cûng b¸ hüy. Ta ğã cñc kh± ch¶ ğşi su¯t mß¶i m¤y nåm, ğßşc sñ giúp ğŞ cüa cao nhân kh¡p n½i m¾i có th¬ cùng mµt s¯ nông dân T°n Tân xây lÕi doanh trÕi · n½i này. Nhßng xung quanh chúng nguy c½ trùng trùng, không lâu trß¾c ğây ğµt nhiên xu¤t hi®n thi trùng, làm b¸ thß½ng r¤t nhi«u ngß¶i, các hÕ thØ ği höi Khu¤t Tài, xem h¡n có th¬ ği«u tra ra lai l¸ch cüa b÷n Thi trùng này không.","Khu¤t Tài tính tình c± quái, nhßng tuy®t ğ¯i không có ác ı, nªu có ğøng trúng ğÕi hi®p, xin lßşng thÑ.","Tránh xa ta ra, d×ng là phi«n ta làm vi®c.","İ, trên ngß¶i ngài có mùi gì v§y? Mùi xác chªt r¤t n°ng..","","",""
"1802","Nghiên CÑu Thi Khí","Giúp Khu¤t Tài thu th§p mµt ít Da Thi Trùng.","À thì ra là khách cüa Lão Ngû m¶i ğªn, hình nhß cûng có tài ğó! Vi®c Thi Trùng ta cûng có nghe nói qua r°i. Thß¶ng Thi Trùng chính do Thi Biªn sinh ra, nhßng khu vñc xung quanh doanh trÕi xu¤t hi®n Thi Biªn thì th§t là kì lÕ. Nhìn dáng vë cüa các hÕ r¤t lanh lşi, có th¬ thay ta ği mµt chuyªn không, l¤y mµt ít Da Thi Trùng v« nghiên cÑu xem nhß thª nào.","Ği mau v« mau, ta còn có vi®c khác.","L¤y ğßşc Da Thi Trùng chßa?","Ğúng v§y, ta quä nhiên không nhìn nh¥m ngß¶i, ngài quä th§t r¤t bän lînh.","","",""
"1803","Xem Xét Th¶i Thª","Báo cáo hành tung cüa Nha Nh¤t Tµc cho Ngû Thiên TÑ."," ĞÕi Hi®p có phäi là cao thü g¥n ğây m¾i ğªn Kinh ThÕch Dø không? NgßŞng mµ ğã lâu! TÕi hÕ là dân binh trinh sát · ğây, không biªt ĞÕi Hi®p có t×ng nhge qua quái v§t Nha Nh¤t Tµc không? Th§t có ğü chuy®n lÕ, ngay cä heo cûng có th¬ tu luy®n thành tinh. TÕi hÕ m¾i ği«u tra t× phía nam tr· v«, s¯ quái v§t · Nha Nh¤t Tµc ğµt nhiên nhi«u h½n, và thß¶ng có ı ğ° xông ğªn doanh trÕi g¥n bên, tÕi hÕ lo s¨ có chiªn sñ xäy ra, cho nên tÑc t¯c quay v« báo cáo tình hình v¾i Trß·ng lão Ngû Thiên TÑ.","Nªu có làm phi«n ğÕi hi®n xin lßşng thÑ, nhßng ta th§t sñ không có ngß¶i khác giúp ğŞ. ","ĞÕi hi®p ğªn ğây có vi®c gì?","! LÕi là ğám súc sinh ğó? Lão phu biªt r°i, nh¶ có sñ nhi®t tình cüa ğÕi hi®p.","","",""
"1804","Sñ Xâm PhÕm cüa Nha Nh¤t Tµc","Tiêu di®t nhæng chiªn sî Nha Nh¤t Tµc có ı ğ° xâm phÕm","Lû nhím ğó t× khi b¸ tà khí xâm nh§p ğã hóa thành ngß¶i, và cûng chính là Nha Nh¤t Tµc hi®n nay, chúng luôn có ı ğ° t¤n công doanh trÕi. Các hÕ phäi ğánh ğòn phü ğ¥u trß¾c, $username$, ği tiêu di®t ğám chiªn sî Nha Nh¤t Tµc ğó.","Chúc ğÕi hi®p th¡ng lşi.","Giªt chªt nhæng chiªn sî Nha Nh¤t Tµc ğó chßa?","ĞÕi hi®p quä là ngß¶i phi phàm!","","",""
"1805","Thanh Lí Ğ°ng Hoang","Tiêu di®t ngß¶i tu¥n hành Nha Nh¤t Tµc ğ¬ nh§n ğßşc vòng ğeo Thú C¯t giao cho Khu¤t Tài.","Th§t là tÑc chªt! Lû heo ğáng chªt ğó giæa ban ngày ban m£t mà dám xông vào phá höng hªt tài li®u thØ nghi®m cüa ta. Th§t quá ngang tàn! Xem ra trong thôn cûng không an toàn r°i, c¥n phäi tìm mµt ch² khác thôi.. $username$, giúp tôi tr×ng phÕt ğám ngß¶i tu¥n hành Nha Nh¤t Tµc ğó. Tuy chúng không d­ ğ¯i phó, nhßng ğ¯i v¾i ğÕi hi®p mà nói chác không phäi là chuy®n khó, ğem vòng ğeo Thú C¯t cüa chúng v« ğ¬ bù d¡p cho nhæng t±n th¤t trß¾c ğây.","L¥n này phäi cho lû heo ğó mµt tr§n ra h°n.","L¤y ğü vòng ğeo Thú C¯t chßa?","Không ng¶ ğÕi hi®p lÕi lşi hÕi nhß v§y, ğã tóm ğßşc lû súc sinh này.","","",""
"1806","Thái ThÕch Trß¶ng","Höi ĞoÕn ThÕch Tßşng cách chª tác Tßşng Ph§t.","Ğ¬ tr¤n áp tà ma, mµt cao nhân ğ¡c ğÕo ğã chï tôi kh¡c tßşng ph§t Linh ThÕch, và làm pháp thu§t cho nó phát sáng thì có th¬ ngån cän các tà ma. Tình thª c¤p bách, phäi ğªn Thái ThÕch Trß¶ng tìm ĞoÕn sß phø xem cách tÕo tßşng ph§t nhß thª nào.","ĞoÕn sß phø là mµt thş ğá có tay ngh« tinh xäo. ","ThÕch KÏ nói phái ngß¶i ğªn tìm ta, sao không th¤y ngß¶i ğâu?","ThÕch KÏ ğã phái ğªn mµt v¸ ğÕi hi®p có ğÕo hÕnh cao nhß v§y th§t quá t¯t.","","",""
"1807","Linh ThÕch Ph§t Tßşng","Nh§n ğßşc bùa ĞÕi Di­n Thánh Quang trên ngß¶i Tßşng Ph§t","Ğ¬ ğ« phòng tà ma xâm nh§p, nhæng tßşng ph§t ğã làm xong ğ«u dùng bùa ĞÕi Di­n Thánh Quang phong ¤n lÕi. Bây gi¶ có th¬ m· phong ¤n khai quang r°i. $username$, ngài là hi®p sî có tiên thu§t, ğúng lúc có th¬ giúp chúng tôi khai quang phong ¤n r°i. Nhæng tßşng ph§t ğó trên sß¶n núi trên thân ğ«u có bùa này.","Lúc m· phong ¤n phäi c¦n th§n, ğ×ng làm hß tßşng ph§t.","Ğã m· phong ¤n hªt chßa?","Th§t ğa tÕ ğÕi hi®p.","","",""
"1808","Sñ Ki®n Linh D¸ ThÕch Tßşng","Ği«u tra nhæng vi®c khác thß¶ng cüa ThÕch Tßşng, thanh tr× yêu quái biªn thành ThÕch Tßşng.","$username$, nhæng tßşng ph§t b¸ niêm phong · Thái ThÕch Trß¶ng g¥n ğây ğã biªn thành yêu quái r°i. Có ngß¶i th¤y tßşng ph§t có th¬ ği lÕi, bu±i t¯i còn nghe th¤y nhæng âm thanh truy«n ğªn t× ch² nhæng tßşng ph§t b¸ niêm phong, th§t ğáng sş, làm cho không ai dám ğªn Thái ThÕch Trß¶ng næa. Hi®p sî võ cao lÕi dûng cäm, hay là ğªn ğó ği«u tra thØ, xem th§t hß thª nào, và mong hi®p sî ra tay di®t tr× chúng.","Lão phu s¯ng t¾i t×ng tu±i này, vi®c gì cûng ğã träi qua, nhßng vi®c này lÕi chßa t×ng nghe ğªn.","ThÕch Tßşng biªn thành yêu quái th§t sao?","ThÕch tßşng quä th§t ğã biªn thành yêu quái, cón có phát hi®n gì khác nûa không?","","",""
"1809","Âm Mßu Ğáng Sş","Ğªn höi Thß½ng Long Cß Sî v« chân tß¾ng sñ vi®c.","T¤m bùa rách nát này sao nhìn th¤y quen quá? A, không phäi là  bùa ĞÕi Di­n Thánh Quang sao? Không ğúng, tßşng ph§t là do Thß½ng Long Cß Sî kêu chúng tôi kh¡c, bùa cûng là ông ¤y cho, Thß½ng Long Cß Sî là cao nhân Tiên Âm Khâu Tu Chân, cûng nh¶ có ông ¤y mà chúng tôi m¾i có ğßşc nhæng ngày bình yên, sao làm ra nhæng chuy®n tà ma nhß v§y. Xem ra bên trong nh¤t ğ¸nh có âm mßu, mau ği tìm ông ¤y, mang t¤m bùa rách nát ğó theo xem ông ¤y nói nhß thª nào.","Thß½ng Long Cß Sî ğang · Lß½ng Ğình phía nam TØ Trúc Lâm, ngài ği v« hß¾ng tây chính là TØ Trúc Lâm ğó.","Tà ma ngày càng ngông cu°n, nh¤t ğ¸nh phäi cho chúng biªt tay.","Cái gì? ThÕch tßşng ğã biªn thành yêu quái, sao có th¬ nhß thª ğßşc? Uh, Miªng rách nát này quä th§t cûng gi¯ng bùa Thánh, nhßng sao có mùi tà khí r¤t n£ng? $username$, lão phu ğªn ğây ğ¬ giáng ma tr× yêu, quyªt không là ra nhßng chuy®n giúp kë ác. Chä trách g¥n ğây thôn dân nhìn th¤y ta ğ«u tr¯n tránh. Vi®c này nh¤t th¶i khó bi®n minh, hãy ğ¬ ğ® tØ cüa lão phu là Xích Hà ği v¾i ngày mµt chuyªn, ğªn Thái ThÕch Trß¶ng xem r¯t cuµc là chuy®n gì.","","",""
