"character","top","left","bottom","right"
"0","0","0","25","20"
"1","0","20","25","39"
"2","0","39","25","59"
"3","0","59","25","79"
"4","0","79","25","98"
"5","0","98","25","118"
"6","0","118","25","138"
"7","0","138","25","158"
"8","0","158","25","177"
"9","0","177","25","197"
"+","0","197","25","217"
"-","0","217","25","236"
"?","0","236","25","256"
"é","25","0","51","20"
"t","25","20","51","39"
"r","25","39","51","59"
"á","25","59","51","79"
"n","25","79","51","98"
"h","25","98","51","118"
"i","25","118","51","138"
"u","25","138","51","158"
"í","25","158","51","177"
"m","25","177","51","197"
"Õ","25","197","51","217"
"g","25","217","51","236"
"ê","25","236","51","256"
"ª","51","0","77","20"
"¤","51","20","77","39"
"°","51","39","77","59"
"ü","51","59","77","79"
"¯","51","79","77","98"
"¬","51","98","77","118"
"ß","51","118","77","138"
"þ","51","138","77","158"
"ð","51","158","77","177"
"Þ","51","177","77","197"
"N","51","197","77","217"
"C","51","217","77","236"
"H","51","236","77","256"
"T","77","0","102","20"
"Ð","77","20","102","39"
