无意义,等级,下一等级经验,下一等级时间（小时）,
ID,LEV,NEXT_LEV_EXP,NEXT_LEV_TIME,
1,1,10,1,
2,2,10,1,
3,3,10,1,
4,4,10,2,
5,5,10,2,
6,6,10,3,
7,7,10,3,
8,8,10,4,
9,9,10,4,
10,10,100,5,1
11,11,100,5,
12,12,100,5,
13,13,100,6,
14,14,100,6,
15,15,100,6,1
16,16,100,6,
17,17,100,7,
18,18,100,7,
19,19,100,7,
20,20,4300,7,1
21,21,4500,8,
22,22,4800,8,
23,23,5100,8,
24,24,5400,10,
25,25,5700,13,1
26,26,6000,16,
27,27,6300,19,
28,28,6600,22,
29,29,6900,27,
30,30,100000,30,1
31,31,100000,33,
32,32,100000,37,
33,33,100000,40,
34,34,100000,45,
35,35,100000,50,1
36,36,100000,55,
37,37,100000,60,
38,38,100000,65,
39,39,100000,70,
40,40,100000,9999,1
