,道具品质,锻造等级,打孔数量
ID,color_lev,smith_lev,num_hole
1,0,0,0
2,0,1,0
3,0,2,0
4,0,3,0
5,0,4,0
6,0,5,0
7,0,6,0
8,0,7,0
9,0,8,0
10,0,9,0
11,0,10,0
12,0,11,0
13,0,12,0
14,1,0,2
15,1,1,2
16,1,2,2
17,1,3,2
18,1,4,2
19,1,5,2
20,1,6,2
21,1,7,2
22,1,8,2
23,1,9,2
24,1,10,2
25,1,11,2
26,1,12,2
27,2,0,2
28,2,1,2
29,2,2,2
30,2,3,2
31,2,4,2
32,2,5,2
33,2,6,2
34,2,7,2
35,2,8,2
36,2,9,2
37,2,10,2
38,2,11,2
39,2,12,2
40,3,0,2
41,3,1,2
42,3,2,2
43,3,3,2
44,3,4,2
45,3,5,2
46,3,6,2
47,3,7,2
48,3,8,2
49,3,9,2
50,3,10,2
51,3,11,2
52,3,12,2
53,4,0,2
54,4,1,2
55,4,2,2
56,4,3,2
57,4,4,2
58,4,5,2
59,4,6,2
60,4,7,2
61,4,8,2
62,4,9,2
63,4,10,2
64,4,11,2
65,4,12,2
2000,0,2,0
2001,0,9,0
2002,0,10,0
2003,1,2,2
2004,1,9,2
2005,1,10,2
2006,2,2,2
2007,2,9,2
2008,2,10,2
2009,3,2,2
2010,3,9,2
2011,3,10,2
2012,4,2,2
2013,4,9,2
2014,4,10,2
