,上一级的品质,当前的等级,消耗的金钱,消耗的灵力,允许精炼
ID,quality,level,money,nimbus,isrefine
1,1,1,10000,10000,0
2,1,2,10000,10000,0
3,1,3,10000,10000,1
4,1,4,10000,10000,1
5,1,5,10000,10000,1
6,1,6,10000,10000,1
7,1,7,10000,10000,1
8,1,8,10000,10000,1
9,1,9,10000,10000,1
10,2,1,30000,10000,0
11,2,2,30000,10000,0
12,2,3,30000,10000,0
13,2,4,30000,10000,1
14,2,5,30000,10000,1
15,2,6,30000,10000,1
16,2,7,30000,10000,1
17,2,8,30000,10000,1
18,2,9,30000,10000,1
19,3,1,100000,10000,0
20,3,2,100000,10000,0
21,3,3,100000,10000,0
22,3,4,100000,10000,0
23,3,5,100000,10000,1
24,3,6,100000,10000,1
25,3,7,100000,10000,1
26,3,8,100000,10000,1
27,3,9,100000,10000,1
28,4,1,500000,10000,0
29,4,2,500000,10000,0
30,4,3,500000,10000,0
31,4,4,500000,10000,0
32,4,5,500000,10000,0
33,4,6,500000,10000,1
34,4,7,500000,10000,1
35,4,8,500000,10000,1
36,4,9,500000,10000,1
37,5,1,1000000,10000,0
38,5,2,1000000,10000,0
39,5,3,1000000,10000,0
40,5,4,1000000,10000,0
41,5,5,1000000,10000,0
42,5,6,1000000,10000,0
43,5,7,1000000,10000,1
44,5,8,1000000,10000,1
45,5,9,1000000,10000,1
