,string,,,int,,int,,
,成功概率,宝石类型（法宝）,宝石类型（防具）,费用（法宝）,费用（防具）,失败降低（最小）,失败降低（最大）,作为材料时的提升概率
ID,Rate,Gem_Trump,Gem_Armor,Fare_Trump,Fare_Armor,Falling_Min,Falling_Max,MatRate
1,100,40,43,10000,5000,0,0,1
2,100,40,43,10000,5000,0,0,1
3,100,40,43,10000,5000,0,0,2
4,100,41,44,20000,10000,0,0,2
5,100,41,44,20000,10000,0,0,3
6,100,41,44,20000,20000,0,0,3
7,80,42,45,80000,50000,0,0,4
8,75,42,45,80000,60000,0,0,4
9,70,42,45,80000,70000,0,0,5
10,65,42,45,100000,100000,0,0,6
11,60,42,45,400000,200000,0,0,7
12,55,42,45,500000,400000,0,0,8
13,45,42,45,600000,800000,0,0,9
14,40,42,45,700000,1000000,0,0,11
15,35,42,45,800000,1200000,0,1,12
16,30,42,45,1000000,1400000,0,1,13
17,20,42,45,1500000,1600000,0,1,14
18,10,42,45,2000000,1800000,0,1,15
19,3,42,45,5000000,2000000,1,1,16
20,2,42,45,9000000,2500000,1,2,17
