typeid,posx,posy,dir
5212,2634,2514,8
5212,2645,2517,6
5212,2660,2498,6
5212,2674,2504,12
5212,2675,2491,12
5212,2714,2522,8
5212,2715,2503,12
5212,2726,2518,10
5212,2713,2490,10
5212,2695,2488,12
5212,2603,2495,12
5212,2621,2502,12
5212,2618,2488,14
5212,2607,2506,2
5212,2600,2455,2
5212,2612,2446,2
5212,2598,2437,2
5212,2625,2388,2
5212,2635,2385,0
5212,2640,2371,0
5212,2627,2364,4
5212,2650,2368,4
5212,2698,2368,4
5212,2706,2362,8
5212,2675,2342,14
5212,2600,2348,0
5212,2594,2358,0
5212,2612,2340,4
5212,2596,2339,4
5212,2685,2333,4
5212,2663,2338,0
5212,2721,2450,6
5212,2744,2470,6
5212,2755,2465,2
5212,2758,2478,6
5212,2747,2484,6
5212,2771,2515,6
5212,2786,2507,2
5212,2776,2501,2
5212,2784,2428,10
5212,2792,2421,10
5212,2786,2414,14
5212,2784,2349,14
5212,2786,2338,10
5212,2787,2360,14
5212,2761,2383,10
5212,2755,2402,6
5212,2759,2393,6
5212,2774,2342,6
5212,2778,2333,10
5212,2764,2399,10
5212,2782,2406,10
5212,2728,2444,6
5212,2711,2454,12
5212,2658,2466,0
5212,2667,2466,0
5212,2651,2458,14
5212,2644,2451,14
5212,2706,2482,4
5212,2694,2517,4
