typeid,posx,posy,dir
5213,2172,2416,8
5213,2183,2419,6
5213,2186,2431,4
5213,2184,2443,2
5213,2174,2446,0
5213,2163,2444,14
5213,2161,2433,12
5213,2164,2422,10
5213,2133,2436,12
5213,2132,2427,12
5213,2168,2388,8
5213,2178,2388,8
5213,2218,2424,4
5213,2217,2437,4
5213,2168,2474,0
5213,2181,2474,0
5213,2168,2503,0
5213,2181,2503,0
5213,2166,2357,8
5213,2180,2356,8
5213,2100,2439,12
5213,2100,2425,12
5213,2245,2436,4
5213,2244,2425,4
5213,2234,2384,2
5213,2228,2375,6
5213,2217,2378,10
5213,2118,2379,10
5213,2132,2379,8
5213,2119,2395,14
5213,2133,2394,2
5213,2221,2391,14
5213,2218,2475,8
5213,2232,2477,4
5213,2230,2490,2
5213,2217,2488,12
5213,2132,2475,6
5213,2131,2488,2
5213,2117,2490,14
5213,2118,2475,10
5213,2150,2457,10
5213,2146,2450,6
5213,2198,2462,10
5213,2202,2453,10
5213,2203,2410,10
5213,2197,2405,2
5213,2145,2409,10
5213,2153,2404,4
5213,2114,2529,0
5213,2107,2517,8
5213,2095,2531,8
5213,2234,2530,8
5213,2245,2518,4
5213,2256,2530,0
5213,2273,2492,0
5213,2262,2503,6
5213,2278,2517,6
5213,2284,2500,10
5213,2248,2541,10
5213,2110,2540,10
5213,2078,2494,10
5213,2088,2502,6
5213,2075,2513,12
5213,2065,2502,8
5213,2076,2374,8
5213,2088,2364,12
5213,2080,2353,4
5213,2067,2361,14
5213,2095,2340,14
5213,2112,2336,2
5213,2102,2324,2
5213,2107,2347,12
5213,2242,2336,12
5213,2246,2324,8
5213,2253,2333,4
5213,2251,2346,0
5213,2273,2352,0
5213,2266,2359,4
5213,2274,2370,10
5213,2283,2358,14
