typeid,posx,posy,dir
5486,-202,-1174,4
5486,-185,-1199,2
5486,-144,-1194,14
5486,-117,-1219,14
5486,-88,-1225,14
5486,-80,-1202,14
5486,-30,-1219,14
5486,-43,-1258,14
5486,2,-1240,8
5486,2,-1290,14
5486,76,-1239,4
5486,116,-1272,0
5486,160,-1258,8
5486,222,-1217,10
5486,242,-1279,0
5486,176,-1189,4
5486,277,-1189,8
5486,344,-1121,8
5486,367,-1267,14
5486,433,-1222,12
5486,438,-1161,12
5486,382,-1166,2
5486,0,-1149,2
5486,21,-1178,2
5486,37,-1274,14
5486,-51,-1298,6
5486,111,-1207,0
5486,303,-1239,10
5486,210,-1121,10
5485,-423,-1390,2
5485,-456,-1368,10
5485,-427,-1356,0
5485,-380,-1383,6
5485,-357,-1361,12
5485,-322,-1338,8
5485,-343,-1307,2
5485,-340,-1375,12
5485,-474,-1332,0
5485,-437,-1311,12
5485,-441,-1336,8
5485,-452,-1280,4
5485,-453,-1238,4
5485,-421,-1226,10
5485,-362,-1257,10
5485,-372,-1323,14
5485,-280,-1211,8
5485,-279,-1246,0
5485,-322,-1222,6
5485,-368,-1209,12
5485,-399,-1326,2
5487,-866,-210,8
5487,-870,-262,14
5487,-812,-161,10
5487,-868,-152,14
5487,-904,-173,2
5487,-992,-170,2
5487,-980,-121,6
5487,-946,-80,6
5487,-883,-46,0
5487,-893,-97,8
5487,-834,-64,8
5487,-831,-113,14
5487,-929,-218,2
5487,-805,-231,14
5487,-914,-128,8
5487,-965,-274,4
5487,-972,-218,4
5487,-801,-294,10
5487,-900,-309,0
5487,-857,-327,0
