number,string,,number,string,number,number,number,number,number,number,number,string,cmd,cmd,cmd,cmd,cmd,cmd,cmd,number,number;num,number;num,number;num,number;num,number;num,number;num,number;num,number;num,string,number,number,number;num,number;num,,cmd,,cmd,cmd,,,,
任务编号,名称,所属势力,任务等级,任务难度,单次任务,"重复任务每天
最大完成次数",重复任务每日前三次奖励加成,团队自动接受,团队共享,最小接受等级,最大接受等级,门派要求,额外接受要求,接受要求,任务接受后指令,额外完成要求,完成要求,任务完成指令,任务取消指令,完成时间限制,杀死npc,杀死npc数量,收集道具,收集道具数量,道具掉落npc,掉落道具,道具掉落率,最大掉落数量,交互类型,相关npc,相关npc数量,使用道具,使用道具数量,xxx,任务固定奖励,任务固定奖励,任务选择奖励,任务随机奖励,门派专有奖励,向导屏蔽,,
ID,,force,lev,dif,once,day_num,day_rate,team_accept,team_shared,accept_min_lev,accept_max_lev,accept_party,extra_accept_req,accept_req,accept_exe,extra_finish_req,finish_req,finish_exe,cancel_exe,time_limit,kill_npc_id,kill_npc_num,get_item_id,get_item_num,item_drop_npcid,item_drop_id,item_drop_rate,item_drop_num,related_type,related_npcid,related_npcnum,use_item_id,use_item_num,,reward_fix_exp,reward_fix,reward_select,reward_random,party_reward,mask,,
5,失落的物品,13,10,0,1,0,,,1,8,99,all,,GetTaskItemSpace >= 1,,,,,,0,0,0,221,1,135,221,1,1,,0,,0,99,16 ,AddExp(1680);AddNimbus(840);AddMoney(528),,,,,0,,
12,狼王的毁灭,13,6,1,1,0,,,1,4,99,all,,CheckTaskFinished(11),,GetItemSpace >= 2,,,,0,204;203,1;4,0,0,0,0,0,0,,0,,0,99,10 ,AddExp(850);AddNimbus(425);AddMoney(270),,,,"em;AddItemEx(94,0,1,1)
fm;AddItemEx(121,0,1,1)
qc;AddItemEx(592,0,1,1)
bh;AddItemEx(148,0,1,1)
xq;AddItemEx(670,0,1,1)",0,,
15,通缉强盗头子,13,10,1,1,0,,,1,8,99,all,,CheckTaskFinished(4),,,,,,0,126,1,0,0,0,0,0,0,,0,,0,99,13 ,AddExp(1365);AddNimbus(682);AddMoney(429),,,,,0,,
16,村民的怒火,13,9,0,1,0,,,1,7,99,all,,GetTaskItemSpace >= 1,,GetItemSpace >= 1,,,,0,211,1,0,0,0,0,0,0,,0,,0,99,10 ,AddExp(1000);AddNimbus(500);AddMoney(300),,,,"em;AddItemEx(76,0,1,1)
fm;AddItemEx(103,0,1,1)
qc;AddItemEx(574,0,1,1)
bh;AddItemEx(130,0,1,1)
xq;AddItemEx(652,0,1,1)",0,,
36,邪灵的终结,13,10,1,1,0,,,1,8,99,all,,"CheckTaskFinished(35)
GetTaskItemSpace >= 1",,,,,,0,224,1,351,1,224,351,1,1,,0,,0,99,14 ,AddExp(1470);AddNimbus(735);AddMoney(462),,,,,0,,
102,除祸巨蛇,14,11,1,1,0,,,1,9,99,all,,CheckTaskFinished(101),,GetItemSpace >= 1,,,,0,234;8,10;1,0,0,0,0,0,0,,0,,0,99,30 ,AddExp(3300);AddNimbus(1650);AddMoney(990),"AddItemEx(356,0,0,1)",,,,0,,
551,佛奴的黑手,11,1,0,1,0,,,1,1,99,all,,,,GetItemSpace >= 1,,,,0,0,0,3005,8,3110;3111,3005;3005,0.5;0.5,8;8,,0,,0,99,13 ,AddExp(780);AddNimbus(390);AddMoney(234),,,,"em;AddItem(202,1)
fm;AddItem(200,1)
bh;AddItem(202,1)
qc;AddItem(200,1)
xq;AddItem(200,1)",0,,
471,幸运戒指,13,5,0,1,,,,1,5,99,all,,,,GetItemSpace >= 2,,,,,2;216;219;228,5;5;5;1,0,0,0,0,0,0,,0,,0,99,15 ,AddExp(1200);AddNimbus(600);AddMoney(360),"AddItem (3918,1)
AddItemEx(3947,0,0,1)",,,,1,,
472,我的灰兔,15,20,0,1,,,,1,20,99,all,,,,GetItemSpace >= 2,,,,,19;23;26;86,10;10;10;10,0,0,0,0,0,0,,0,,0,99,40 ,AddExp(6200);AddNimbus(3100);AddMoney(1920),"AddItem (3919,1)
AddItemEx(3946,0,0,1)",,,,1,,
